"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,264417006.312148,234423996.870294,298247424.156679,19.3930379842672,0.0614276583974533,"index","Coastwide",11,"Dover sole",13
2004,288804866.954473,255335835.900352,326660967.437183,19.4812618171764,0.0628437961018172,"index","Coastwide",11,"Dover sole",13
2005,310547559.479374,277788093.670324,347170339.176053,19.5538476182344,0.0568778258711757,"index","Coastwide",11,"Dover sole",13
2006,293804686.899861,263581181.571272,327493766.928821,19.4984257742652,0.055385612782212,"index","Coastwide",11,"Dover sole",13
2007,356845797.534227,320306405.401815,397553470.896394,19.6928143067511,0.0551161628944745,"index","Coastwide",11,"Dover sole",13
2008,313024534.977098,282055020.646615,347394488.043497,19.5617921319407,0.0531537386479132,"index","Coastwide",11,"Dover sole",13
2009,285572030.084392,257057041.83812,317250147.217821,19.4700048497557,0.0536725570859026,"index","Coastwide",11,"Dover sole",13
2010,249797293.612869,226592289.38192,275378690.362854,19.3361603213812,0.0497445073540931,"index","Coastwide",11,"Dover sole",13
2011,247534204.794062,223617503.158105,274008884.267466,19.3270593316122,0.0518436855726731,"index","Coastwide",11,"Dover sole",13
2012,261265598.175021,236753056.767083,288316078.034445,19.3810480653941,0.0502661604259403,"index","Coastwide",11,"Dover sole",13
2013,286156004.699525,252249993.432884,324619469.404988,19.4720476910463,0.064346335380255,"index","Coastwide",11,"Dover sole",13
2014,304574122.651325,273570280.886604,339091643.6105,19.5344250396337,0.0547744372642223,"index","Coastwide",11,"Dover sole",13
2015,296115294.004323,266429908.585425,329108198.883582,19.5062594432216,0.05389776764334,"index","Coastwide",11,"Dover sole",13
2016,296084244.06097,267401963.748104,327843065.744045,19.5061545801092,0.0519861663009815,"index","Coastwide",11,"Dover sole",13
2017,339479732.944298,304524974.757913,378446756.859759,19.6429248064044,0.0554403788034933,"index","Coastwide",11,"Dover sole",13
2018,331441107.458052,299365389.441638,366953601.142446,19.6189606970809,0.0519322162771549,"index","Coastwide",11,"Dover sole",13
2019,313103301.601262,271093408.931418,361623242.188125,19.5620437311189,0.0735063146042053,"index","Coastwide",11,"Dover sole",13
2021,345343740.113433,311207100.511855,383224864.212219,19.6600508271251,0.0531038638378553,"index","Coastwide",11,"Dover sole",13
2022,413979129.368531,371996401.176452,460699939.598167,19.8413261183655,0.0545578292638191,"index","Coastwide",11,"Dover sole",13
2023,404784895.894933,362509048.65796,451990957.332684,19.8188663627289,0.0562797938311332,"index","Coastwide",11,"Dover sole",13
2024,362723762.605982,326562099.89856,402889765.835991,19.7091521179769,0.0535833471632774,"index","Coastwide",11,"Dover sole",13
