"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,35408286.2149358,29195788.868414,42942725.0049476,17.3824564245812,0.0984310865402857,"index","Coastwide",12,"English sole",10
2004,37922540.8195734,32007968.0226187,44930034.3338245,17.451056237842,0.086512205685479,"index","Coastwide",12,"English sole",10
2005,31220200.0291569,27113346.1299699,35949118.3857671,17.2565758801149,0.0719601173714535,"index","Coastwide",12,"English sole",10
2006,20404054.8000724,17144175.9144989,24283783.2719782,16.8312442037728,0.0888154721555755,"index","Coastwide",12,"English sole",10
2007,19558734.3674655,16524133.6220563,23150629.1831519,16.7889325153377,0.0860219895147478,"index","Coastwide",12,"English sole",10
2008,15010087.0595703,12669640.0471416,17782881.9680406,16.5242330036974,0.0864882533533487,"index","Coastwide",12,"English sole",10
2009,15901258.8210545,13463314.3199423,18780667.6785102,16.5819088351921,0.0849146973461858,"index","Coastwide",12,"English sole",10
2010,17220355.6663029,14782036.4390858,20060879.3312047,16.6616027110074,0.0778991169171026,"index","Coastwide",12,"English sole",10
2011,18080494.4972213,15624422.3822287,20922647.4596509,16.7103442630643,0.0744903880121631,"index","Coastwide",12,"English sole",10
2012,18352115.6161537,15946122.2381278,21121131.6807398,16.7252554182526,0.0716998789727798,"index","Coastwide",12,"English sole",10
2013,28296893.8603197,23712709.2658126,33767301.457055,17.1582625990038,0.0901755757171603,"index","Coastwide",12,"English sole",10
2014,29801264.2536002,25949352.2339905,34224952.6348326,17.2100613751932,0.0706156700335231,"index","Coastwide",12,"English sole",10
2015,36333491.4378679,31364798.7506859,42089305.6116533,17.4082505030168,0.0750287969830888,"index","Coastwide",12,"English sole",10
2016,31990085.3875442,27617637.7658093,37054782.591482,17.280936581117,0.0749867886391059,"index","Coastwide",12,"English sole",10
2017,32346393.6165554,28192990.3541123,37111678.0041932,17.2920130925285,0.0701182050311604,"index","Coastwide",12,"English sole",10
2018,35668710.902847,30723878.924013,41409385.2087314,17.3897844171487,0.0761410377922311,"index","Coastwide",12,"English sole",10
2019,31818464.1379034,25926523.2149311,39049380.115572,17.2755573125155,0.104481637980414,"index","Coastwide",12,"English sole",10
2021,28881877.7389256,24685268.686785,33791929.6042667,17.1787248885361,0.0801074282696773,"index","Coastwide",12,"English sole",10
2022,39966853.9974697,33826354.2759081,47222038.9293542,17.5035610184947,0.085108834075516,"index","Coastwide",12,"English sole",10
2023,33100520.640934,28487155.6187331,38460999.1030625,17.3150595695569,0.0765808490019327,"index","Coastwide",12,"English sole",10
2024,24594686.3936524,21203763.5448548,28527888.3403173,17.0180409773131,0.0756910478438388,"index","Coastwide",12,"English sole",10
