"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,6926622.90173286,5032904.17985292,9532886.60151132,15.7508829366219,0.162949519450339,"index","Coastwide",19,"Pacific cod",10
2004,5793899.53937061,3893780.32264979,8621254.69098741,15.5723161184263,0.202771618537473,"index","Coastwide",19,"Pacific cod",10
2005,1499420.82245067,903552.332304748,2488248.5744504,14.2205894731433,0.258423199634026,"index","Coastwide",19,"Pacific cod",10
2006,1576346.78690243,716005.911349024,3470459.04676385,14.270620567645,0.402648656754472,"index","Coastwide",19,"Pacific cod",10
2007,464292.487066127,260537.435793939,827395.544479617,13.0482699926713,0.29478508784633,"index","Coastwide",19,"Pacific cod",10
2008,952753.688144999,491346.569360101,1847452.78970011,13.7671116897808,0.337866763526083,"index","Coastwide",19,"Pacific cod",10
2009,915287.789044847,485453.798467466,1725708.48022883,13.7269938183518,0.323554118317741,"index","Coastwide",19,"Pacific cod",10
2010,4716924.54099046,2967535.74039444,7497593.65069707,15.3666675648924,0.236445730234624,"index","Coastwide",19,"Pacific cod",10
2011,5990849.22268703,3588011.48532749,10002831.5281979,15.6057437334462,0.261553290925377,"index","Coastwide",19,"Pacific cod",10
2012,1959481.40441073,1041977.9022693,3684883.68694705,14.4881904066103,0.322229958079149,"index","Coastwide",19,"Pacific cod",10
2013,2804958.74496478,1614890.99877122,4872027.62721514,14.8468993891533,0.281699752734326,"index","Coastwide",19,"Pacific cod",10
2014,2540126.02304438,1652100.81426968,3905476.08064673,14.7477242531357,0.219476480047982,"index","Coastwide",19,"Pacific cod",10
2015,4212414.2663121,2980785.85590076,5952938.18772753,15.2535465012249,0.176456797269165,"index","Coastwide",19,"Pacific cod",10
2016,3556859.72271547,2116448.24656428,5977585.84818356,15.0843886131879,0.264871564480842,"index","Coastwide",19,"Pacific cod",10
2017,2443198.97811309,1419796.15051462,4204280.4838492,14.7088187951888,0.276941278601882,"index","Coastwide",19,"Pacific cod",10
2018,622982.511893377,239593.269921991,1619858.56385426,13.3422737265785,0.48754756622742,"index","Coastwide",19,"Pacific cod",10
2019,992891.807491836,424152.191398578,2324246.25258628,13.8083769818967,0.433951530139324,"index","Coastwide",19,"Pacific cod",10
2021,194729.452639676,62195.2393658531,609685.887729964,12.1793664518237,0.582323309282579,"index","Coastwide",19,"Pacific cod",10
2022,1283436.97041895,650267.866408748,2533126.02717903,14.0650521705059,0.346900512826043,"index","Coastwide",19,"Pacific cod",10
2023,1605701.65127422,937454.532262141,2750296.36550288,14.28907138492,0.274570273961489,"index","Coastwide",19,"Pacific cod",10
2024,1136504.645684,483938.433224858,2669023.0016535,13.9434680099778,0.435597308514499,"index","Coastwide",19,"Pacific cod",10
