"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,8149692.51178324,3868094.49696115,17170596.0360572,15.9134907558898,0.380220348978889,"index","Coastwide",20,"Pacific ocean perch",10
2004,5837855.80892012,2311984.76954437,14740823.9425637,15.5798741313793,0.472588893214426,"index","Coastwide",20,"Pacific ocean perch",10
2005,9573999.93014173,3984186.67769176,23006320.2549179,16.0745616416379,0.447313264485545,"index","Coastwide",20,"Pacific ocean perch",10
2006,6925590.41209979,3011164.20103712,15928657.2747008,15.7507338644684,0.424955015163099,"index","Coastwide",20,"Pacific ocean perch",10
2007,4521756.05387593,2220552.69551777,9207742.67236929,15.3244109838536,0.362835391188557,"index","Coastwide",20,"Pacific ocean perch",10
2008,4193521.74101156,1934144.4022515,9092198.37560502,15.249051449848,0.394841863764355,"index","Coastwide",20,"Pacific ocean perch",10
2009,5137287.57602139,2140613.13993637,12329048.6946783,15.4520357891987,0.446657661137822,"index","Coastwide",20,"Pacific ocean perch",10
2010,9785636.76344193,4608083.48691348,20780588.5327321,16.0964262321617,0.384243608091071,"index","Coastwide",20,"Pacific ocean perch",10
2011,7464478.5311833,3661121.54517189,15218953.8246757,15.8256661313491,0.363468944034037,"index","Coastwide",20,"Pacific ocean perch",10
2012,10366233.5692864,5354771.78933808,20067857.724014,16.1540643097263,0.337029491537077,"index","Coastwide",20,"Pacific ocean perch",10
2013,7594926.30983373,3913351.47818511,14740026.796304,15.8429909915072,0.338315538641522,"index","Coastwide",20,"Pacific ocean perch",10
2014,5084378.32991521,2608714.78988006,9909440.12047403,15.4416833243204,0.340473135849995,"index","Coastwide",20,"Pacific ocean perch",10
2015,5699856.49877438,3022797.87144094,10747779.2060021,15.5559515568342,0.323607042719535,"index","Coastwide",20,"Pacific ocean perch",10
2016,16882799.9662625,7434651.9931593,38337898.6619804,16.641805908155,0.418448290076884,"index","Coastwide",20,"Pacific ocean perch",10
2017,13207161.0922551,5744910.94822019,30362368.6579193,16.3962697474419,0.424724528413907,"index","Coastwide",20,"Pacific ocean perch",10
2018,17619014.2171831,8185640.75751807,37923685.0456926,16.6844892300958,0.391128197280914,"index","Coastwide",20,"Pacific ocean perch",10
2019,16170925.0830394,6046716.86971477,43246413.4960576,16.5987254397523,0.501896683288071,"index","Coastwide",20,"Pacific ocean perch",10
2021,6184834.29934712,3613629.96181342,10585526.3861009,15.6376107727218,0.274182292261301,"index","Coastwide",20,"Pacific ocean perch",10
2022,13959645.89489,6900370.80138448,28240759.6808596,16.4516812892812,0.359494147537568,"index","Coastwide",20,"Pacific ocean perch",10
2023,32506556.2261626,15699313.0627652,67307161.368152,17.296952356991,0.371346028465145,"index","Coastwide",20,"Pacific ocean perch",10
2024,20462847.1823504,10451299.8539502,40064692.4937249,16.8341214672788,0.342804539267624,"index","Coastwide",20,"Pacific ocean perch",10
