"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,45518677.1950171,33904969.9216598,61110509.119211,17.6336332874967,0.150289047582652,"index","Coastwide",22,"Pacific spiny dogfish",10
2004,42489215.0218869,31017527.6955892,58203652.170281,17.5647608375002,0.160563065332655,"index","Coastwide",22,"Pacific spiny dogfish",10
2005,43016040.4671343,33902266.982115,54579823.1854613,17.5770836382173,0.121477331905984,"index","Coastwide",22,"Pacific spiny dogfish",10
2006,48473281.1506074,37923438.4003656,61957962.7959891,17.6965232999931,0.125228522347168,"index","Coastwide",22,"Pacific spiny dogfish",10
2007,34021142.7789278,26596425.5455104,43518560.5676087,17.3424927357531,0.125617282236347,"index","Coastwide",22,"Pacific spiny dogfish",10
2008,39012780.6550128,31265574.8579021,48679644.0287252,17.4793998595119,0.112946796888246,"index","Coastwide",22,"Pacific spiny dogfish",10
2009,18410383.1053746,14134897.1370129,23979106.6607146,16.7284253626274,0.134833136124937,"index","Coastwide",22,"Pacific spiny dogfish",10
2010,22368176.3512961,17338838.41153,28856334.0523416,16.9231498080733,0.129946403078777,"index","Coastwide",22,"Pacific spiny dogfish",10
2011,29438194.0292169,22126112.7430612,39166720.2352837,17.197803505827,0.14568352633723,"index","Coastwide",22,"Pacific spiny dogfish",10
2012,32599706.2675441,23093180.5112449,46019683.0927063,17.2998138360983,0.175904211951848,"index","Coastwide",22,"Pacific spiny dogfish",10
2013,12019948.0889891,8400400.36539516,17199079.3030728,16.3020781683423,0.182803483096461,"index","Coastwide",22,"Pacific spiny dogfish",10
2014,26184590.9711279,19658378.2553934,34877383.8522089,17.0806816648415,0.146261608567616,"index","Coastwide",22,"Pacific spiny dogfish",10
2015,15463129.6192735,11280246.4592033,21197088.0678204,16.5539690139661,0.160924059543122,"index","Coastwide",22,"Pacific spiny dogfish",10
2016,19475237.0176078,13253050.2171897,28618684.0520723,16.7846543199992,0.19638933881491,"index","Coastwide",22,"Pacific spiny dogfish",10
2017,9222621.24313232,6224171.1342608,13665553.333854,16.0371698548162,0.200625632711124,"index","Coastwide",22,"Pacific spiny dogfish",10
2018,24096195.2072206,16180452.6354842,35884448.7570856,16.9975645107782,0.203192543188147,"index","Coastwide",22,"Pacific spiny dogfish",10
2019,23874666.5437866,13908321.3878715,40982638.140219,16.9883284774811,0.275683942036863,"index","Coastwide",22,"Pacific spiny dogfish",10
2021,9674301.4580602,6837664.09096459,13687731.2860543,16.0849835935562,0.177057778709493,"index","Coastwide",22,"Pacific spiny dogfish",10
2022,20095522.1572957,13109303.7012735,30804840.590819,16.8160075699666,0.217950345535771,"index","Coastwide",22,"Pacific spiny dogfish",10
2023,10518866.1868384,7907767.08427235,13992135.1599589,16.168680982549,0.145576640763912,"index","Coastwide",22,"Pacific spiny dogfish",10
2024,8594348.96666656,5848870.18836822,12628564.4546763,15.9666154483417,0.196358903028257,"index","Coastwide",22,"Pacific spiny dogfish",10
