"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,34819592.646437,28534287.8539585,42489374.1266303,17.3656907933972,0.101570125909196,"index","Coastwide",1,"arrowtooth flounder",11
2004,34083951.5856965,27756550.7663489,41853750.6866496,17.3443372034882,0.1047747668619,"index","Coastwide",1,"arrowtooth flounder",11
2005,44255048.5312603,36479227.2149559,53688344.5738466,17.6054800140122,0.0985867477111396,"index","Coastwide",1,"arrowtooth flounder",11
2006,35098879.0757072,28609571.4263124,43060110.6886245,17.3736797527611,0.10430184907263,"index","Coastwide",1,"arrowtooth flounder",11
2007,36066762.07018,30137729.6881852,43162220.2364142,17.4008822809041,0.0916312031937935,"index","Coastwide",1,"arrowtooth flounder",11
2008,40924119.4277951,34136039.5318495,49062034.55084,17.5272301642593,0.0925353240015489,"index","Coastwide",1,"arrowtooth flounder",11
2009,46254706.0944145,38746258.7461001,55218178.609206,17.6496737701389,0.0903736042709529,"index","Coastwide",1,"arrowtooth flounder",11
2010,56346865.1868995,47084935.021017,67430680.6407067,17.8470371657917,0.0916208207490113,"index","Coastwide",1,"arrowtooth flounder",11
2011,62186494.3535452,51911477.5208451,74495280.5173123,17.9456484015531,0.0921434947038516,"index","Coastwide",1,"arrowtooth flounder",11
2012,58256359.3122279,48292577.5392869,70275880.3369832,17.8803638171933,0.0957034853670682,"index","Coastwide",1,"arrowtooth flounder",11
2013,75349720.6193362,58176250.5787933,97592752.0410134,18.1376507752573,0.131973349272681,"index","Coastwide",1,"arrowtooth flounder",11
2014,60163316.5785671,50910858.9183061,71097301.0206156,17.9125733653843,0.085198794292622,"index","Coastwide",1,"arrowtooth flounder",11
2015,44862227.4470363,38353210.1543154,52475906.0170396,17.6191067391236,0.0799800156145561,"index","Coastwide",1,"arrowtooth flounder",11
2016,50052677.3668572,41981446.9876168,59675658.9245165,17.7285865561381,0.0897201261159408,"index","Coastwide",1,"arrowtooth flounder",11
2017,50632981.8952732,42364089.0410109,60515849.9484137,17.74011373803,0.0909721477968449,"index","Coastwide",1,"arrowtooth flounder",11
2018,35822026.8287665,29889075.9377655,42932662.3811574,17.3940735367137,0.0923843089928113,"index","Coastwide",1,"arrowtooth flounder",11
2019,36375210.9867583,27843000.2157739,47522032.9733567,17.4093980837624,0.136383082482909,"index","Coastwide",1,"arrowtooth flounder",11
2021,34466251.4491855,28012647.5240205,42406648.2091653,17.3554911843691,0.105779760527749,"index","Coastwide",1,"arrowtooth flounder",11
2022,52903476.8957648,42075299.1236042,66518311.8351406,17.7839796204865,0.116843072108289,"index","Coastwide",1,"arrowtooth flounder",11
2023,70113779.2423348,57850841.279652,84976154.7265859,18.0656298981995,0.0980892229584112,"index","Coastwide",1,"arrowtooth flounder",11
2024,61573393.872036,51339430.1462078,73847388.2963607,17.9357404175387,0.0927418999702071,"index","Coastwide",1,"arrowtooth flounder",11
