"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,3892425.00120223,2685491.15941197,5641788.22070734,15.1745429149908,0.189375275039366,"index","Coastwide",2,"aurora rockfish",16
2004,5565553.75234905,3736076.63064367,8290886.84001376,15.5321070440035,0.203350907267974,"index","Coastwide",2,"aurora rockfish",16
2005,5866193.43087063,4323411.71367726,7959506.90042436,15.5847165028942,0.15569730272179,"index","Coastwide",2,"aurora rockfish",16
2006,6491149.73858102,4750153.9332875,8870244.10586196,15.6859502283955,0.159320604034038,"index","Coastwide",2,"aurora rockfish",16
2007,6573800.28426834,4887863.57090938,8841255.39727501,15.6986026531081,0.151195015330198,"index","Coastwide",2,"aurora rockfish",16
2008,5232040.09558983,4017173.90839081,6814303.83302102,15.47031183562,0.13480994150801,"index","Coastwide",2,"aurora rockfish",16
2009,5968492.96571005,4393089.25176301,8108851.48018206,15.6020050189474,0.156360923873802,"index","Coastwide",2,"aurora rockfish",16
2010,4254615.83419253,3202338.08800029,5652668.58124448,15.2635150301774,0.144963519199891,"index","Coastwide",2,"aurora rockfish",16
2011,4668039.6208744,3450977.5131007,6314325.09175475,15.3562497601149,0.154126135220771,"index","Coastwide",2,"aurora rockfish",16
2012,6536787.29970959,4927669.25433412,8671358.81006257,15.6929563641597,0.144175964478564,"index","Coastwide",2,"aurora rockfish",16
2013,4906616.18769215,3345080.1601165,7197101.7915709,15.4060950947095,0.195459652480134,"index","Coastwide",2,"aurora rockfish",16
2014,4646822.89488627,3424812.9718476,6304859.0372485,15.3516942956314,0.155684939422693,"index","Coastwide",2,"aurora rockfish",16
2015,5685956.31713196,4223825.2000672,7654222.82148856,15.5535098886331,0.151665117331629,"index","Coastwide",2,"aurora rockfish",16
2016,5652793.99843507,4175355.20629435,7653020.73954637,15.5476604938887,0.15456942284571,"index","Coastwide",2,"aurora rockfish",16
2017,6512788.92616197,4849413.57794977,8746711.10536022,15.6892783289214,0.150467042969814,"index","Coastwide",2,"aurora rockfish",16
2018,5796046.63352403,4360961.56227549,7703382.86596964,15.5726866282019,0.145147307618996,"index","Coastwide",2,"aurora rockfish",16
2019,5484322.23739009,3385515.49249442,8884257.20402491,15.5174040774913,0.246120511023218,"index","Coastwide",2,"aurora rockfish",16
2021,7112192.29745014,5273163.72609349,9592586.51985429,15.7773210942595,0.152645675478901,"index","Coastwide",2,"aurora rockfish",16
2022,6230161.24688151,4463200.00481711,8696654.66935191,15.6449127727532,0.170174665856779,"index","Coastwide",2,"aurora rockfish",16
2023,5389830.03865988,3930098.8114034,7391739.81105752,15.5000244096719,0.161150554695455,"index","Coastwide",2,"aurora rockfish",16
2024,6330181.3789103,4572611.09923605,8763307.31397591,15.6608394475661,0.16594411627786,"index","Coastwide",2,"aurora rockfish",16
