"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,9222605.09286109,6640237.63461888,12809247.1051676,16.0371681036563,0.167610117884333,"index","Coastwide",3,"big skate",10
2004,14107002.7501765,10661227.3033666,18666474.4058731,16.4621818810078,0.142889247707685,"index","Coastwide",3,"big skate",10
2005,10541811.414548,8146249.62639816,13641834.3405258,16.1708599472739,0.131528813049839,"index","Coastwide",3,"big skate",10
2006,9040080.33405313,6553240.88873778,12470631.5292912,16.0171786188392,0.164139924999087,"index","Coastwide",3,"big skate",10
2007,8910328.04886162,6667034.08041071,11908435.5923135,16.0027216168233,0.147980251534158,"index","Coastwide",3,"big skate",10
2008,5569919.13459494,3875776.03661328,8004590.27375488,15.532891093772,0.185021065897448,"index","Coastwide",3,"big skate",10
2009,9303980.018359,7003134.3227796,12360757.3683759,16.0459528255385,0.144943713546484,"index","Coastwide",3,"big skate",10
2010,10777008.5353939,8660150.59206889,13411304.0803607,16.1929255835796,0.111574965424207,"index","Coastwide",3,"big skate",10
2011,7748275.38791117,6056982.44291898,9911828.54708388,15.8629808459738,0.125644430510179,"index","Coastwide",3,"big skate",10
2012,10107585.7795447,7931054.74976872,12881425.4237538,16.1287967671833,0.12372685253031,"index","Coastwide",3,"big skate",10
2013,11371208.5333786,8610348.35009968,15017323.138626,16.2465951514923,0.141900473335304,"index","Coastwide",3,"big skate",10
2014,18194722.8596959,14927071.553684,22177688.2860482,16.7166421572386,0.100999382448791,"index","Coastwide",3,"big skate",10
2015,16460529.0302279,13329551.2959762,20326941.9906706,16.6164758930508,0.107645785506123,"index","Coastwide",3,"big skate",10
2016,16248462.5074244,12700880.0140644,20786948.1140534,16.603508847336,0.125679353194643,"index","Coastwide",3,"big skate",10
2017,12893992.1601077,10313843.6337323,16119599.9987015,16.3722720368261,0.113917625881692,"index","Coastwide",3,"big skate",10
2018,14099749.6160192,11254895.8890443,17663685.3147571,16.4616675974616,0.11497854917485,"index","Coastwide",3,"big skate",10
2019,12072041.9488426,8603850.62632906,16938252.7828468,16.3064027543113,0.172800290576978,"index","Coastwide",3,"big skate",10
2021,8705239.98307064,6650618.50244078,11394609.8599762,15.9794356992215,0.137357260210968,"index","Coastwide",3,"big skate",10
2022,14522784.9691503,11412348.3505052,18480971.3813932,16.4912293512523,0.122973094084097,"index","Coastwide",3,"big skate",10
2023,8995287.23163245,6967749.34353353,11612816.1892999,16.012211357223,0.130312870482603,"index","Coastwide",3,"big skate",10
2024,5763454.04313875,4297771.87614595,7728982.24117941,15.5670475132148,0.149717156794427,"index","Coastwide",3,"big skate",10
