"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,328798.786546103,119787.346853062,902504.68746755,12.7032012516041,0.515176768249831,"index","Coastwide",4,"blackgill rockfish",11
2004,1848303.12895466,755262.954733227,4523225.23578594,14.4297785485518,0.456619256068999,"index","Coastwide",4,"blackgill rockfish",11
2005,478992.258253981,185441.095360114,1237231.60188255,13.0794397139534,0.484165605116027,"index","Coastwide",4,"blackgill rockfish",11
2006,511578.835495665,209823.544339684,1247299.99081234,13.1452569785888,0.45471998168786,"index","Coastwide",4,"blackgill rockfish",11
2007,929131.067791001,397136.086839876,2173775.11070284,13.7420050926572,0.433666542049195,"index","Coastwide",4,"blackgill rockfish",11
2008,1346672.87449746,702385.841799591,2581953.85354124,14.1131475710339,0.332102738601109,"index","Coastwide",4,"blackgill rockfish",11
2009,1785430.83946873,919966.204198575,3465087.37818583,14.3951703107208,0.338311368049275,"index","Coastwide",4,"blackgill rockfish",11
2010,666047.377151416,330918.687400237,1340568.31935193,13.4091160838564,0.356888250291587,"index","Coastwide",4,"blackgill rockfish",11
2011,749041.237289947,374273.858504481,1499070.16590136,13.5265493174457,0.353989293930626,"index","Coastwide",4,"blackgill rockfish",11
2012,668633.576784722,323289.604297421,1382880.40834321,13.4129914712476,0.370765824655696,"index","Coastwide",4,"blackgill rockfish",11
2013,695955.305677805,283421.471623257,1708952.34128529,13.4530407212745,0.458350439405504,"index","Coastwide",4,"blackgill rockfish",11
2014,1799932.38042934,793247.094334645,4084170.74232769,14.4032596557326,0.41805340085079,"index","Coastwide",4,"blackgill rockfish",11
2015,961547.258088906,468743.389976919,1972450.49062733,13.7762989931816,0.366582367872162,"index","Coastwide",4,"blackgill rockfish",11
2016,1191816.28068018,574545.649617916,2472259.68526427,13.9909889877825,0.37227936874782,"index","Coastwide",4,"blackgill rockfish",11
2017,1635645.69534159,817799.516014701,3271384.71997014,14.3075482050511,0.353667575230974,"index","Coastwide",4,"blackgill rockfish",11
2018,1721495.16991,971365.359103111,3050907.25364118,14.3587037560118,0.29196751219069,"index","Coastwide",4,"blackgill rockfish",11
2019,877982.223484941,309841.836500298,2487891.22044473,13.685381625812,0.531420165167788,"index","Coastwide",4,"blackgill rockfish",11
2021,2369766.85133287,1130566.55232148,4967239.58279573,14.6783021333071,0.377595047850992,"index","Coastwide",4,"blackgill rockfish",11
2022,2257752.10031713,1109090.59126421,4596057.87537702,14.6298802303826,0.362674664253805,"index","Coastwide",4,"blackgill rockfish",11
2023,1208318.90570978,597166.667779471,2444936.49205965,14.0047406174293,0.359592877249811,"index","Coastwide",4,"blackgill rockfish",11
2024,2961995.08507751,1063659.13157649,8248333.1582176,14.9013736144829,0.522534133313185,"index","Coastwide",4,"blackgill rockfish",11
