"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,1837215.45784894,1035544.78041539,3259502.34349607,14.4237616452069,0.292517334826566,"index","Coastwide",5,"bocaccio",10
2004,7391365.12818407,3678546.93024954,14851592.0807974,15.8158230022765,0.356024208364059,"index","Coastwide",5,"bocaccio",10
2005,2401907.31183837,1400336.29415599,4119838.04086132,14.6917736929668,0.275286036565777,"index","Coastwide",5,"bocaccio",10
2006,3080991.77416961,1712942.06372298,5541641.19939314,14.9407621077179,0.299515275352944,"index","Coastwide",5,"bocaccio",10
2007,2261376.27706903,1081326.92500266,4729210.51741867,14.6314841580546,0.376427671460014,"index","Coastwide",5,"bocaccio",10
2008,2217917.62021112,1089213.12499831,4516249.8111199,14.6120793047289,0.362819531635241,"index","Coastwide",5,"bocaccio",10
2009,1328692.75309313,625576.09726037,2822077.8253096,14.0997061244313,0.384332503348904,"index","Coastwide",5,"bocaccio",10
2010,972580.333060342,514799.657383411,1837438.09983011,13.7877079557525,0.324584977887362,"index","Coastwide",5,"bocaccio",10
2011,775534.482890639,355808.037839068,1690388.27173569,13.5613077259753,0.39753846870216,"index","Coastwide",5,"bocaccio",10
2012,4183006.13443519,2475334.95106338,7068756.61946504,15.246540716939,0.267685754680315,"index","Coastwide",5,"bocaccio",10
2013,4713110.79434495,2784087.97539657,7978703.81829682,15.3658587138716,0.268590554586158,"index","Coastwide",5,"bocaccio",10
2014,4485773.88207312,2881778.26627988,6982552.2513449,15.3164215875474,0.225771226360432,"index","Coastwide",5,"bocaccio",10
2015,3821218.68730119,2293769.8938973,6365813.89224284,15.1560799577934,0.260399016503895,"index","Coastwide",5,"bocaccio",10
2016,11618430.8279256,7773720.81199483,17364649.2031212,16.2681032596432,0.205026105636446,"index","Coastwide",5,"bocaccio",10
2017,7599422.27872193,5025398.5744031,11491868.3792548,15.8435827864096,0.211007683109827,"index","Coastwide",5,"bocaccio",10
2018,13850382.1192318,8560429.36004545,22409283.0838705,16.4438233800533,0.245495569359836,"index","Coastwide",5,"bocaccio",10
2019,14013895.9296388,8062418.88795427,24358605.2592931,16.455559961714,0.282064255490355,"index","Coastwide",5,"bocaccio",10
2021,8140775.81115844,5671422.42417128,11685292.6569345,15.9123960419333,0.184414372958926,"index","Coastwide",5,"bocaccio",10
2022,6391298.07383681,3920485.76310017,10419293.3062276,15.6704479471688,0.249352451257405,"index","Coastwide",5,"bocaccio",10
2023,6595772.72808589,4297185.11918192,10123887.3062196,15.7019395060471,0.218610528850802,"index","Coastwide",5,"bocaccio",10
2024,10735424.362092,7331343.80081216,15720083.4342853,16.1890595192163,0.194590378327284,"index","Coastwide",5,"bocaccio",10
