"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,7555812.62781743,4414029.70958636,12933828.7738973,15.8378277094953,0.27425458691917,"index","Coastwide",6,"canary rockfish",14
2004,7315803.76582039,3992374.53319494,13405802.5606033,15.805547465528,0.309011153955922,"index","Coastwide",6,"canary rockfish",14
2005,6347716.93422108,3775165.23280826,10673310.3830328,15.6636057683017,0.265132962856928,"index","Coastwide",6,"canary rockfish",14
2006,6492660.62962002,3307067.57853436,12746834.1817497,15.6861829630093,0.344195373781671,"index","Coastwide",6,"canary rockfish",14
2007,6491921.87968219,3770274.44161536,11178244.5401612,15.6860691742235,0.277255513647584,"index","Coastwide",6,"canary rockfish",14
2008,10076801.331424,5278980.50062586,19235139.258603,16.1257464420165,0.329854475429118,"index","Coastwide",6,"canary rockfish",14
2009,3376241.89936986,1726508.60303373,6602347.27068888,15.032273784788,0.342180780537493,"index","Coastwide",6,"canary rockfish",14
2010,6997442.44097795,4122988.33227015,11875900.8682033,15.7610552746827,0.269885822945105,"index","Coastwide",6,"canary rockfish",14
2011,6203620.02989895,3560356.75333972,10809282.3673536,15.6406435554163,0.283307372164283,"index","Coastwide",6,"canary rockfish",14
2012,7823692.65700457,4691025.19479163,13048356.0095196,15.872667207845,0.260976989222724,"index","Coastwide",6,"canary rockfish",14
2013,5742154.80055355,3128702.68924205,10538662.5155834,15.5633450986438,0.309809824627717,"index","Coastwide",6,"canary rockfish",14
2014,14220008.003955,9185067.34913757,22014931.4040174,16.4701605452052,0.222999473222318,"index","Coastwide",6,"canary rockfish",14
2015,10508345.8358129,6843415.03276092,16135998.13491,16.1676803409145,0.218821828104491,"index","Coastwide",6,"canary rockfish",14
2016,12602686.1041593,8277466.93326668,19187959.1088006,16.3494205320713,0.21447995053201,"index","Coastwide",6,"canary rockfish",14
2017,11560745.0306284,7620315.83521157,17538751.4839782,16.2631258681481,0.212655689819471,"index","Coastwide",6,"canary rockfish",14
2018,8141712.00680009,5109130.94597521,12974315.0259031,15.9125110361102,0.237744755184313,"index","Coastwide",6,"canary rockfish",14
2019,18223926.0604213,10132493.3248699,32776876.3726244,16.7182459073969,0.299489140273349,"index","Coastwide",6,"canary rockfish",14
2021,7158510.08223885,4223258.090983,12133823.103761,15.7838124282105,0.269237080257934,"index","Coastwide",6,"canary rockfish",14
2022,10301883.8080142,6091848.92081965,17421444.8475761,16.1478373304588,0.268053465020784,"index","Coastwide",6,"canary rockfish",14
2023,10926926.567722,6713431.56405041,17784902.2630615,16.2067406282706,0.248535097303368,"index","Coastwide",6,"canary rockfish",14
2024,7622164.35439134,4674405.70835225,12428829.0469835,15.8465709233416,0.249473120823739,"index","Coastwide",6,"canary rockfish",14
