"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,1319757.0901112,941162.406898588,1850646.35405318,14.0929582549853,0.17249667049299,"index","Coastwide",9,"curlfin sole",10
2004,1024154.47588175,736741.558026991,1423691.08819865,13.8393779285573,0.168056907686498,"index","Coastwide",9,"curlfin sole",10
2005,870204.444332861,633790.481594316,1194804.587522,13.6764834565102,0.161742639599621,"index","Coastwide",9,"curlfin sole",10
2006,505608.620606293,352073.200819793,726099.222082647,13.1335181719192,0.184658384000634,"index","Coastwide",9,"curlfin sole",10
2007,527579.832877962,363861.474793288,764962.765617508,13.1760554748301,0.18955805684656,"index","Coastwide",9,"curlfin sole",10
2008,552337.385067317,387728.245296951,786830.958650825,13.2219143433817,0.180541260798897,"index","Coastwide",9,"curlfin sole",10
2009,754562.903055644,542731.477953193,1049073.43280514,13.5338939242327,0.16812756049042,"index","Coastwide",9,"curlfin sole",10
2010,556578.445425862,398693.978478045,776985.815274176,13.2295634018944,0.170214337691826,"index","Coastwide",9,"curlfin sole",10
2011,1031062.67968845,760400.065448968,1398067.0146558,13.8461005561933,0.155360293825286,"index","Coastwide",9,"curlfin sole",10
2012,1722074.8488341,1327970.94339552,2233137.55450426,14.3590404292471,0.132593099919726,"index","Coastwide",9,"curlfin sole",10
2013,2589523.50506054,1904572.30077775,3520807.25973106,14.7669844418702,0.156745948897522,"index","Coastwide",9,"curlfin sole",10
2014,2203650.67964551,1684912.31101336,2882094.38922165,14.6056259428847,0.136942242576414,"index","Coastwide",9,"curlfin sole",10
2015,2479009.39351249,1888824.6684806,3253604.04047807,14.7233696002447,0.138729220191214,"index","Coastwide",9,"curlfin sole",10
2016,2251242.07756079,1653148.2767405,3065720.6997626,14.6269926563371,0.15755421242189,"index","Coastwide",9,"curlfin sole",10
2017,1429235.93228763,1085876.61799442,1881167.08315806,14.1726505463544,0.140182364024576,"index","Coastwide",9,"curlfin sole",10
2018,1544715.08907259,1095018.54453495,2179090.68144771,14.2503500429414,0.1755482187008,"index","Coastwide",9,"curlfin sole",10
2019,870568.729483143,551438.349418885,1374387.38809618,13.6769019891037,0.232971967020908,"index","Coastwide",9,"curlfin sole",10
2021,1224924.93170581,925402.080965903,1621393.68300143,14.0183901198431,0.143067177704262,"index","Coastwide",9,"curlfin sole",10
2022,923508.688650603,686062.63611722,1243134.74180721,13.7359354869698,0.151641193655086,"index","Coastwide",9,"curlfin sole",10
2023,1041258.74622117,779864.915951831,1390266.12738281,13.8559408721601,0.147484788215393,"index","Coastwide",9,"curlfin sole",10
2024,1007601.84179436,774483.209917614,1310888.93676002,13.8230836513612,0.134253687027586,"index","Coastwide",9,"curlfin sole",10
