"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,11809052.5461039,7909452.37685444,17631273.9987827,16.2843769602394,0.204497561079724,"index","Coastwide",10,"darkblotched rockfish",15
2004,10807218.6849076,7134652.04573667,16370241.3172632,16.1957248655675,0.211866558967354,"index","Coastwide",10,"darkblotched rockfish",15
2005,9809325.3072215,6732216.61540176,14292894.6704953,16.0988440531541,0.192059163011285,"index","Coastwide",10,"darkblotched rockfish",15
2006,8897221.36070725,6252970.06729088,12659671.6583551,16.0012495792936,0.179943336955822,"index","Coastwide",10,"darkblotched rockfish",15
2007,8904035.3998459,6287640.46317807,12609157.1020962,16.0020151476535,0.177512810025699,"index","Coastwide",10,"darkblotched rockfish",15
2008,6136045.64120079,4230844.30897597,8899182.6125628,15.6296910602677,0.189686612542118,"index","Coastwide",10,"darkblotched rockfish",15
2009,11562174.4327486,8138646.71328218,16425811.6026997,16.2632495032387,0.179143613500233,"index","Coastwide",10,"darkblotched rockfish",15
2010,9383152.46582256,6474077.4883771,13599397.0345484,16.0544263482953,0.189345145451866,"index","Coastwide",10,"darkblotched rockfish",15
2011,8639037.10598961,5929984.43842418,12585692.7439927,15.9718016885036,0.191977783629149,"index","Coastwide",10,"darkblotched rockfish",15
2012,10363403.7545477,7052600.30167327,15228445.2238549,16.1537912885719,0.19637317201044,"index","Coastwide",10,"darkblotched rockfish",15
2013,8315384.93184356,5536701.53132474,12488595.6328924,15.9336179632049,0.207508136099973,"index","Coastwide",10,"darkblotched rockfish",15
2014,7300235.03299293,4985790.5120414,10689063.5312948,15.8034171019007,0.194551827462082,"index","Coastwide",10,"darkblotched rockfish",15
2015,10705235.311829,7511556.06735309,15256767.3134621,16.1862434612523,0.180763658101984,"index","Coastwide",10,"darkblotched rockfish",15
2016,12335208.6643734,8622429.26312614,17646694.2378216,16.3279682242495,0.182702747126558,"index","Coastwide",10,"darkblotched rockfish",15
2017,9358936.49328523,6566858.77569234,13338141.6103488,16.051842219486,0.180766617390356,"index","Coastwide",10,"darkblotched rockfish",15
2018,7846072.18569703,5343636.36779925,11520403.8048199,15.8755236060276,0.195976386363035,"index","Coastwide",10,"darkblotched rockfish",15
2019,9795441.44041413,5942427.25079611,16146713.9542562,16.0974276762793,0.255004400217759,"index","Coastwide",10,"darkblotched rockfish",15
2021,6572462.11841447,4613135.1707758,9363969.77301852,15.6983990719202,0.180605771565611,"index","Coastwide",10,"darkblotched rockfish",15
2022,17036323.4953721,12113278.8924417,23960177.9845146,16.6508582987726,0.174005983530067,"index","Coastwide",10,"darkblotched rockfish",15
2023,21584179.7595503,15145913.6874875,30759241.4366823,16.8874711857656,0.180732839286926,"index","Coastwide",10,"darkblotched rockfish",15
2024,22751609.2557746,15618144.8716185,33143227.187507,16.9401464373771,0.1919435822513,"index","Coastwide",10,"darkblotched rockfish",15
