"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,3136914.75641422,2149105.78865226,4578757.4725115,14.9587503132028,0.192956561881896,"index","Coastwide",13,"flathead sole",10
2004,1766514.35447276,1202563.67714071,2594933.6603763,14.3845188716882,0.196203930887646,"index","Coastwide",13,"flathead sole",10
2005,1689383.89263212,1121657.89288504,2544463.82875616,14.3398744598582,0.20896100786546,"index","Coastwide",13,"flathead sole",10
2006,997037.631880097,679577.13009265,1462797.95973938,13.8125437933471,0.195573888178033,"index","Coastwide",13,"flathead sole",10
2007,470017.314094656,269567.289217598,819521.820284461,13.060524811507,0.283653932433661,"index","Coastwide",13,"flathead sole",10
2008,210305.346854274,121830.380666358,363032.099822614,12.2563157862571,0.27854121639471,"index","Coastwide",13,"flathead sole",10
2009,499500.769445435,319806.825441562,780161.643930182,13.1213644175009,0.227500096440346,"index","Coastwide",13,"flathead sole",10
2010,834981.477418898,589188.467206642,1183312.48223181,13.6351648208551,0.177892774496973,"index","Coastwide",13,"flathead sole",10
2011,1411162.95833847,966013.476207457,2061442.14758233,14.1599247155472,0.193366640874026,"index","Coastwide",13,"flathead sole",10
2012,878403.372556669,590279.357463122,1307164.94683983,13.6858611891616,0.20281495029973,"index","Coastwide",13,"flathead sole",10
2013,1365172.44774847,876444.799409778,2126426.91627199,14.1267913139684,0.226107374691393,"index","Coastwide",13,"flathead sole",10
2014,2363747.46197497,1765221.91171308,3165212.27553247,14.675758825226,0.148967969853964,"index","Coastwide",13,"flathead sole",10
2015,3594431.22209505,2776841.61773813,4652744.94873625,15.0948963230166,0.131671599056636,"index","Coastwide",13,"flathead sole",10
2016,4122006.43325021,2995351.14719765,5672435.784917,15.2318506011422,0.162900224967496,"index","Coastwide",13,"flathead sole",10
2017,2731441.75097399,2054223.16599095,3631919.92110789,14.820340141668,0.145376053277863,"index","Coastwide",13,"flathead sole",10
2018,2220354.99962062,1625970.01973708,3032021.66368203,14.6131776508033,0.158963390341362,"index","Coastwide",13,"flathead sole",10
2019,1674674.71357285,1061161.03495972,2642893.30637434,14.3311295035298,0.232787604497661,"index","Coastwide",13,"flathead sole",10
2021,1175955.89234363,812197.254491082,1702631.04571095,13.9775919002268,0.188826626026529,"index","Coastwide",13,"flathead sole",10
2022,1178584.52686533,733052.583672452,1894900.19939285,13.9798247228977,0.242275884011961,"index","Coastwide",13,"flathead sole",10
2023,1474808.05155402,1056653.83570487,2058440.25302538,14.2040384047482,0.170115723111539,"index","Coastwide",13,"flathead sole",10
2024,1432705.50346828,997822.081003364,2057125.31196367,14.1750751752004,0.184567121743536,"index","Coastwide",13,"flathead sole",10
