"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,3459493.09501474,1678556.92889023,7129989.02120486,15.0566326319701,0.368980055919721,"index","Coastwide",14,"greenspotted rockfish",16
2004,7613719.29494997,3465288.05042989,16728399.0994925,15.8454623482828,0.401617599049612,"index","Coastwide",14,"greenspotted rockfish",16
2005,1625131.52326772,789230.889271951,3346362.26713677,14.3010993078662,0.368519585675666,"index","Coastwide",14,"greenspotted rockfish",16
2006,2788079.64713083,1517056.66795666,5123993.24490311,14.840863618292,0.31050621857413,"index","Coastwide",14,"greenspotted rockfish",16
2007,3041626.60442487,1590888.28280638,5815299.855264,14.92790299753,0.330669295972338,"index","Coastwide",14,"greenspotted rockfish",16
2008,1436206.34208217,758300.518093585,2720146.70677371,14.1775157105253,0.325863468739232,"index","Coastwide",14,"greenspotted rockfish",16
2009,4146479.37749935,2248625.0972597,7646135.07559803,15.2377701893893,0.312220364607833,"index","Coastwide",14,"greenspotted rockfish",16
2010,3077018.58377834,1584148.4963121,5976739.79867346,14.9394716938629,0.338737907668473,"index","Coastwide",14,"greenspotted rockfish",16
2011,2828680.02922559,1404094.57929689,5698640.83639329,14.8553207400431,0.357362441400596,"index","Coastwide",14,"greenspotted rockfish",16
2012,2778914.51823337,1388635.83731914,5561116.66724431,14.8375709483499,0.35395473723796,"index","Coastwide",14,"greenspotted rockfish",16
2013,4208606.50742124,1896538.21907128,9339315.47289466,15.2526421550054,0.406691841769159,"index","Coastwide",14,"greenspotted rockfish",16
2014,2647172.63709577,1341115.63954466,5225144.47223042,14.7890026989902,0.346940205021093,"index","Coastwide",14,"greenspotted rockfish",16
2015,2929198.7565333,1285062.67470452,6676876.95251837,14.8902394816617,0.420375802284897,"index","Coastwide",14,"greenspotted rockfish",16
2016,6665214.71263051,3493287.22193181,12717272.9704427,15.7124127260244,0.329627984415601,"index","Coastwide",14,"greenspotted rockfish",16
2017,4109517.37908811,1888985.23074279,8940320.34458333,15.2288161535648,0.396571483864662,"index","Coastwide",14,"greenspotted rockfish",16
2018,5613615.03036987,2895811.9201508,10882154.8422777,15.5407054604088,0.337725274520629,"index","Coastwide",14,"greenspotted rockfish",16
2019,3010417.18072243,1166770.77184158,7767259.70576441,14.9175892253679,0.483600089607114,"index","Coastwide",14,"greenspotted rockfish",16
2021,3663044.17883947,1988844.32878333,6746577.6289983,15.1138051025235,0.311608181905113,"index","Coastwide",14,"greenspotted rockfish",16
2022,3713447.93167641,2007655.70562852,6868555.94941502,15.1274713646323,0.313777745780587,"index","Coastwide",14,"greenspotted rockfish",16
2023,3491225.31567646,1647973.06064612,7396148.9394987,15.0657633258768,0.383020651999558,"index","Coastwide",14,"greenspotted rockfish",16
2024,5165474.54484978,2606667.35546383,10236107.5023872,15.4575075333435,0.348947455484077,"index","Coastwide",14,"greenspotted rockfish",16
