"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,14145959.0975727,9878851.32256991,20256217.2722468,16.4649395651256,0.183183348209664,"index","Coastwide",15,"greenstriped rockfish",14
2004,16391807.2374494,11446233.634551,23474214.5834454,16.6122922092813,0.183228323824351,"index","Coastwide",15,"greenstriped rockfish",14
2005,23960083.0384549,17454868.8424062,32889710.2804307,16.9918997969173,0.16162062923829,"index","Coastwide",15,"greenstriped rockfish",14
2006,17516133.9068765,12607915.5605521,24335104.8450545,16.6786329517062,0.167756938664964,"index","Coastwide",15,"greenstriped rockfish",14
2007,18534369.6752554,13701355.6796445,25072180.2492424,16.735137386719,0.154151835687247,"index","Coastwide",15,"greenstriped rockfish",14
2008,21657502.5415873,15169060.0189386,30921323.7836262,16.8908624901001,0.18168400371589,"index","Coastwide",15,"greenstriped rockfish",14
2009,14710862.1272944,10560934.2069443,20491507.6912387,16.5040966991059,0.169097188940216,"index","Coastwide",15,"greenstriped rockfish",14
2010,18398687.9990981,13725396.8184515,24663164.5383895,16.7277899156401,0.149508593483544,"index","Coastwide",15,"greenstriped rockfish",14
2011,21032984.2057616,15572356.2392129,28408444.9266476,16.8616024399304,0.153367397535114,"index","Coastwide",15,"greenstriped rockfish",14
2012,24389065.5745148,17560006.5264575,33873934.9955115,17.0096454576302,0.167610702229279,"index","Coastwide",15,"greenstriped rockfish",14
2013,24999355.1208627,17524212.3479529,35663101.0883641,17.0343605873343,0.181261770493584,"index","Coastwide",15,"greenstriped rockfish",14
2014,21305344.7660872,15765362.0215559,28792089.5810196,16.8744685271878,0.153647064558355,"index","Coastwide",15,"greenstriped rockfish",14
2015,16619053.7747795,12164458.6625883,22704910.7592795,16.6260604128454,0.159202608659536,"index","Coastwide",15,"greenstriped rockfish",14
2016,37778960.6326248,26192346.1009522,54491104.423423,17.4472629086117,0.186883595311105,"index","Coastwide",15,"greenstriped rockfish",14
2017,25373915.0541472,18493534.7718308,34814088.9839926,17.0492322379253,0.161380761709983,"index","Coastwide",15,"greenstriped rockfish",14
2018,33129547.3838409,23293260.465422,47119505.2958542,17.3159361123609,0.179728550552754,"index","Coastwide",15,"greenstriped rockfish",14
2019,28409474.5664056,18324553.2740843,44044634.1620068,17.1622332589886,0.2237188208337,"index","Coastwide",15,"greenstriped rockfish",14
2021,24915296.3944893,18041346.625266,34408295.9725351,17.0309924858536,0.164704949659153,"index","Coastwide",15,"greenstriped rockfish",14
2022,33566723.2828145,23924740.7887313,47094550.4444397,17.329045755697,0.172769549568341,"index","Coastwide",15,"greenstriped rockfish",14
2023,22409215.7143273,16140835.5455932,31111954.9860206,16.9249828480352,0.167411168028135,"index","Coastwide",15,"greenstriped rockfish",14
2024,24806092.4243716,17840304.8632308,34491687.5627331,17.0265998432382,0.168181187063663,"index","Coastwide",15,"greenstriped rockfish",14
