"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,20972385.4590557,16563848.0608577,26554273.5134481,16.8587171522051,0.120402264181514,"index","Coastwide",16,"lingcod",10
2004,21392033.2423531,16806686.3365768,27228394.5256961,16.8785291322846,0.123084797868041,"index","Coastwide",16,"lingcod",10
2005,18152520.4636378,14539072.1915784,22664032.1226039,16.7143199775538,0.113251958724251,"index","Coastwide",16,"lingcod",10
2006,26287571.4473198,20601586.9125182,33542872.9608226,17.0846068169093,0.124353382741088,"index","Coastwide",16,"lingcod",10
2007,14302624.5975915,11370273.5103024,17991218.0823335,16.4759536166822,0.117063730568009,"index","Coastwide",16,"lingcod",10
2008,14151794.1480894,11304026.3864961,17716986.0333256,16.4653519689337,0.114635999998126,"index","Coastwide",16,"lingcod",10
2009,11471605.596757,9267624.78445542,14199726.2543771,16.2553854615894,0.108852909858722,"index","Coastwide",16,"lingcod",10
2010,12797935.6133342,10427321.4310671,15707500.4396682,16.3647944356745,0.104519499945688,"index","Coastwide",16,"lingcod",10
2011,17853701.3612185,14663737.3878127,21737613.2608933,16.6977214038659,0.100426969939082,"index","Coastwide",16,"lingcod",10
2012,23850393.0815405,19248503.3143752,29552492.5160894,16.9873112565691,0.109373127510109,"index","Coastwide",16,"lingcod",10
2013,25651008.0576568,20281160.4902382,32442631.4110906,17.0600934293022,0.119844279140049,"index","Coastwide",16,"lingcod",10
2014,29432972.935555,24011379.0048053,36078723.1608707,17.197626132286,0.10387320009003,"index","Coastwide",16,"lingcod",10
2015,20694420.6549019,16949046.2125502,25267442.2425563,16.8453746883253,0.101865427292865,"index","Coastwide",16,"lingcod",10
2016,26502315.8142532,21650156.7692072,32441924.1396624,17.0927426763553,0.103175070813513,"index","Coastwide",16,"lingcod",10
2017,26015779.3245083,21203126.64727,31920800.4140586,17.0742138089947,0.10436650799644,"index","Coastwide",16,"lingcod",10
2018,27760236.615264,22273120.327904,34599136.7886604,17.1391152171712,0.112361286216514,"index","Coastwide",16,"lingcod",10
2019,17486147.8232791,13070175.0678018,23394129.3143668,16.6769195724948,0.148510939308589,"index","Coastwide",16,"lingcod",10
2021,18718546.9891331,15013729.7278865,23337572.1912445,16.7450254078994,0.112527451537721,"index","Coastwide",16,"lingcod",10
2022,14439205.7867127,11376996.1111227,18325633.7362378,16.4854576889962,0.121611264887367,"index","Coastwide",16,"lingcod",10
2023,17765976.56645,14231465.9650967,22178314.1760482,16.6927957572999,0.113180535437168,"index","Coastwide",16,"lingcod",10
2024,25869481.0576975,20907003.4054991,32009850.3460589,17.0685744943436,0.108665130607921,"index","Coastwide",16,"lingcod",10
