"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,43789610.9176261,38127740.4635243,50292254.4322167,17.5949071535503,0.0706413400059452,"index","Coastwide",17,"longnose skate",13
2004,59967110.1001227,52008597.3240909,69143458.5584278,17.9093068048911,0.0726478700521621,"index","Coastwide",17,"longnose skate",13
2005,50515315.7696496,44890752.6160199,56844605.5947115,17.737787130832,0.0602280222300659,"index","Coastwide",17,"longnose skate",13
2006,56882950.6017549,50460314.8235288,64123065.4322621,17.8565062162657,0.0611278967276127,"index","Coastwide",17,"longnose skate",13
2007,56776522.1877362,50659259.3998963,63632463.4414435,17.8546334564769,0.0581647795449641,"index","Coastwide",17,"longnose skate",13
2008,57744092.9381319,51396454.131701,64875686.9628287,17.8715316153489,0.0594153127232427,"index","Coastwide",17,"longnose skate",13
2009,49059597.8396199,43502294.7709038,55326831.6731428,17.7085463994439,0.0613389594760597,"index","Coastwide",17,"longnose skate",13
2010,59391179.1265048,52946671.0655973,66620093.1436557,17.8996562737519,0.0586033804786365,"index","Coastwide",17,"longnose skate",13
2011,56865288.3756325,50789664.8005217,63667697.6456562,17.8561956668203,0.0576501530997321,"index","Coastwide",17,"longnose skate",13
2012,62224186.6345019,55641522.6710495,69585611.9038213,17.9462543347705,0.057049029740145,"index","Coastwide",17,"longnose skate",13
2013,67009401.5506147,58565476.2639032,76670765.485418,18.020343489162,0.0687194007358821,"index","Coastwide",17,"longnose skate",13
2014,61614843.0895355,55084420.9254926,68919466.2513217,17.9364133587234,0.0571622066972237,"index","Coastwide",17,"longnose skate",13
2015,54435502.3690009,48757058.6022026,60775280.6079168,17.8125271160415,0.0562084712492665,"index","Coastwide",17,"longnose skate",13
2016,63942282.9238698,57048719.5265959,71668839.8871092,17.9734914051167,0.0582027102300592,"index","Coastwide",17,"longnose skate",13
2017,59361385.9844885,53038391.2824109,66438179.2282605,17.8991545053461,0.0574642866521454,"index","Coastwide",17,"longnose skate",13
2018,61374747.396357,54862003.795546,68660627.7088342,17.9325090283289,0.0572344496054052,"index","Coastwide",17,"longnose skate",13
2019,53461249.4757454,45887324.8735135,62285286.9149844,17.7944676405633,0.0779443660289336,"index","Coastwide",17,"longnose skate",13
2021,57119572.6784922,51021456.8964186,63946538.9943144,17.8606573948488,0.0576033896902399,"index","Coastwide",17,"longnose skate",13
2022,69190875.5217584,61420595.1753224,77944169.0820826,18.0523795552721,0.0607785617638735,"index","Coastwide",17,"longnose skate",13
2023,66558571.8803777,59358864.6673842,74631540.1343849,18.0135928981229,0.0584096792638737,"index","Coastwide",17,"longnose skate",13
2024,60352189.8733181,53695333.0471046,67834327.7861734,17.9157077910685,0.059629230007867,"index","Coastwide",17,"longnose skate",13
