"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,17503385.5239998,14511118.3390118,21112673.5820299,16.6779048786973,0.095654402127616,"index","Coastwide",23,"petrale sole",10
2004,23100249.1423929,19464575.5655242,27415008.801208,16.9553539608188,0.0873726396956263,"index","Coastwide",23,"petrale sole",10
2005,23786658.7182926,20415551.3617914,27714418.4329724,16.9846354234154,0.077974868196321,"index","Coastwide",23,"petrale sole",10
2006,21274688.6835809,18059018.0860203,25062956.1600393,16.8730285993475,0.0836101406504838,"index","Coastwide",23,"petrale sole",10
2007,18622732.6843715,15870701.2412868,21851975.3702729,16.7398935797523,0.0815873673652692,"index","Coastwide",23,"petrale sole",10
2008,16616511.990932,14151213.5624286,19511292.7613398,16.6259074571912,0.0819385029279846,"index","Coastwide",23,"petrale sole",10
2009,16806148.0916345,14394641.9005876,19621649.1961792,16.6372553352626,0.0790263144720391,"index","Coastwide",23,"petrale sole",10
2010,24737424.2379118,21413839.3626563,28576853.8543158,17.023827806247,0.0736135139335476,"index","Coastwide",23,"petrale sole",10
2011,32245801.276811,27945896.4852611,37207312.3698853,17.2888983997631,0.0730204587303216,"index","Coastwide",23,"petrale sole",10
2012,38423003.25417,33137308.0730507,44551813.798979,17.4641668812806,0.0755098280993247,"index","Coastwide",23,"petrale sole",10
2013,56102221.448997,47214240.9474879,66663345.3879503,17.8426859677303,0.0880015393408539,"index","Coastwide",23,"petrale sole",10
2014,57579146.20936,50102895.6814428,66170987.3871981,17.8686710151356,0.0709613308280374,"index","Coastwide",23,"petrale sole",10
2015,53292811.9115243,46171215.4204771,61512866.3079875,17.7913120190945,0.0731875183384382,"index","Coastwide",23,"petrale sole",10
2016,60411740.5194734,52253170.5425399,69844152.128932,17.9166940234773,0.0740232460460798,"index","Coastwide",23,"petrale sole",10
2017,61575413.6274388,53316250.9688799,71113994.2229481,17.9357732194057,0.0734816974446581,"index","Coastwide",23,"petrale sole",10
2018,42508168.240708,36597466.6884568,49373482.1200144,17.5652068093268,0.0763877452310686,"index","Coastwide",23,"petrale sole",10
2019,45023129.9010635,36722651.7694377,55199778.0229769,17.6226869134844,0.103972612782369,"index","Coastwide",23,"petrale sole",10
2021,51515235.1070353,44434536.9917867,59724251.1747935,17.7573881492068,0.0754404495040077,"index","Coastwide",23,"petrale sole",10
2022,52115542.2242769,44582041.6060614,60922058.3778988,17.7689737774817,0.0796606965141593,"index","Coastwide",23,"petrale sole",10
2023,52114773.3328923,44706941.7222468,60750064.6412421,17.768959023782,0.0782257641798791,"index","Coastwide",23,"petrale sole",10
2024,43666466.9328256,37616646.8016465,50689269.153892,17.5920910184294,0.0760900583567482,"index","Coastwide",23,"petrale sole",10
