"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,882338.463538399,601096.80478487,1295167.69685364,13.6903310068858,0.195829993057778,"index","Coastwide",24,"redbanded rockfish",16
2004,916637.172148368,562619.772669483,1493413.04052916,13.7284670046188,0.249039109332762,"index","Coastwide",24,"redbanded rockfish",16
2005,468532.052449069,314878.220441307,697165.665711884,13.0573597933664,0.202768293303769,"index","Coastwide",24,"redbanded rockfish",16
2006,425132.799118881,279423.244718356,646824.844757742,12.9601568676134,0.214123296883395,"index","Coastwide",24,"redbanded rockfish",16
2007,482082.373616314,312762.191234898,743067.485343824,13.08587027805,0.220755010360571,"index","Coastwide",24,"redbanded rockfish",16
2008,475460.579791933,320625.700148869,705067.506538366,13.0720392548852,0.201028987975353,"index","Coastwide",24,"redbanded rockfish",16
2009,376381.031593119,252638.698596558,560732.309539496,12.8383572911438,0.203392315383841,"index","Coastwide",24,"redbanded rockfish",16
2010,373246.571142495,226590.906678302,614821.68420561,12.8299945288689,0.254643980926882,"index","Coastwide",24,"redbanded rockfish",16
2011,617978.674520483,404547.578570601,944011.687108503,13.334209228596,0.216169582812997,"index","Coastwide",24,"redbanded rockfish",16
2012,454407.113670358,310818.189830285,664329.925693773,13.026748801351,0.193771611491909,"index","Coastwide",24,"redbanded rockfish",16
2013,673333.188097659,432878.22511701,1047355.94420627,13.4199955650127,0.225404056585972,"index","Coastwide",24,"redbanded rockfish",16
2014,1327048.55727606,896311.360071108,1964783.6140655,14.0984679044128,0.200220399882837,"index","Coastwide",24,"redbanded rockfish",16
2015,634938.336828478,422308.575185337,954625.871372812,13.3612831658029,0.208060771725751,"index","Coastwide",24,"redbanded rockfish",16
2016,430582.399242039,275752.626565686,672346.098189809,12.9728939881166,0.227368731972157,"index","Coastwide",24,"redbanded rockfish",16
2017,850242.042190018,589485.193552113,1226343.83054024,13.653276343449,0.186876628679878,"index","Coastwide",24,"redbanded rockfish",16
2018,948616.985764718,616992.917813746,1458483.81675102,13.7627603984056,0.21946708072125,"index","Coastwide",24,"redbanded rockfish",16
2019,703244.494236895,413968.691918397,1194662.37019681,13.4634598972946,0.270369391944034,"index","Coastwide",24,"redbanded rockfish",16
2021,947355.172974272,675178.394015349,1329251.39743247,13.7614293525135,0.172807833622488,"index","Coastwide",24,"redbanded rockfish",16
2022,1277664.75754543,863387.252936855,1890724.26900079,14.0605445614687,0.199965900579569,"index","Coastwide",24,"redbanded rockfish",16
2023,1748751.74427186,1151234.0364135,2656395.2822495,14.3744128024006,0.213303818616162,"index","Coastwide",24,"redbanded rockfish",16
2024,1488069.51676169,1013193.59984201,2185516.06234058,14.2129902115377,0.196111935860278,"index","Coastwide",24,"redbanded rockfish",16
