"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,58268112.8199886,51036077.7805201,66524958.7988286,17.8805655517746,0.0676146116790302,"index","Coastwide",25,"rex sole",10
2004,64150717.8219913,56099599.4204318,73357290.2407915,17.976745838706,0.068422996418361,"index","Coastwide",25,"rex sole",10
2005,63758484.4445388,56825770.5016331,71536985.8213831,17.9706128224733,0.058731862712125,"index","Coastwide",25,"rex sole",10
2006,55151022.7846258,49116874.2883562,61926483.6832537,17.8255858489973,0.0591197819590282,"index","Coastwide",25,"rex sole",10
2007,52735826.628839,47220839.6202681,58894916.57902,17.7808056047163,0.0563580428484118,"index","Coastwide",25,"rex sole",10
2008,38347907.3959216,34213634.4911085,42981753.4301523,17.4622105183415,0.05820297073074,"index","Coastwide",25,"rex sole",10
2009,36110329.4921877,32231398.5178672,40456075.6279788,17.4020895178918,0.0579795721417326,"index","Coastwide",25,"rex sole",10
2010,38134565.8182208,34160735.5011651,42570661.5741519,17.4566316681275,0.056146037007857,"index","Coastwide",25,"rex sole",10
2011,42332856.5699577,37791391.6821576,47420078.1078591,17.5610740935644,0.0579001415745818,"index","Coastwide",25,"rex sole",10
2012,45039799.233029,40443476.9062427,50158484.6341049,17.6230570842598,0.0549199678045278,"index","Coastwide",25,"rex sole",10
2013,54284962.6156385,47708590.8573895,61767851.7269567,17.8097578149795,0.0658868094127546,"index","Coastwide",25,"rex sole",10
2014,59904148.1530869,53640235.2227924,66899538.2112381,17.9082563119915,0.0563511938393781,"index","Coastwide",25,"rex sole",10
2015,70823111.6086038,63417040.0341234,79094091.0396606,18.0756959405454,0.056354498280113,"index","Coastwide",25,"rex sole",10
2016,77695136.8949394,69721513.4754907,86580654.8970769,18.1683032251544,0.0552478207344619,"index","Coastwide",25,"rex sole",10
2017,74454103.6423959,66775411.9991888,83015789.5433122,18.1256934350165,0.0555356878861654,"index","Coastwide",25,"rex sole",10
2018,78445944.453107,70358357.7105063,87463187.0524889,18.1779203398619,0.0555154096691618,"index","Coastwide",25,"rex sole",10
2019,71854363.4448428,61488695.6270194,83967459.277097,18.0901518985666,0.0794851307762538,"index","Coastwide",25,"rex sole",10
2021,66083508.8498845,59196251.7322696,73772071.9491463,18.0064297857958,0.0561546049557316,"index","Coastwide",25,"rex sole",10
2022,69402384.2096288,61683879.0119097,78086706.1400426,18.0554317794925,0.0601534547994002,"index","Coastwide",25,"rex sole",10
2023,68791312.6504925,61357418.640407,77125876.5612638,18.046588025316,0.0583487151669325,"index","Coastwide",25,"rex sole",10
2024,61226883.1501367,54500178.8254818,68783833.3940978,17.9300969181921,0.0593798550792219,"index","Coastwide",25,"rex sole",10
