"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,4919856.14462521,3199682.0746703,7564809.22758571,15.4087898491437,0.21950803247844,"index","Coastwide",26,"rosethorn rockfish",18
2004,4454869.44488768,2650592.78446115,7487329.58428711,15.3095083131575,0.264910198379378,"index","Coastwide",26,"rosethorn rockfish",18
2005,2716775.55731587,1643218.65155543,4491714.73427618,14.8149562781932,0.256529616521168,"index","Coastwide",26,"rosethorn rockfish",18
2006,3228140.94224333,2040676.67639685,5106587.46851925,14.9874169698238,0.233996623665802,"index","Coastwide",26,"rosethorn rockfish",18
2007,3439758.83515599,2151272.09517009,5499974.11791751,15.0509119208327,0.239464616303069,"index","Coastwide",26,"rosethorn rockfish",18
2008,3486199.58600777,2077218.73073418,5850894.45500289,15.0643227570112,0.264179522115917,"index","Coastwide",26,"rosethorn rockfish",18
2009,4555461.0776379,2887922.69532376,7185866.04256291,15.3318373080622,0.232549832837742,"index","Coastwide",26,"rosethorn rockfish",18
2010,4178852.15418849,2629542.39183052,6641005.43912864,15.2455471625292,0.236344531159636,"index","Coastwide",26,"rosethorn rockfish",18
2011,4152853.90127921,2690400.55545299,6410270.57863738,15.2393063429137,0.221486568361619,"index","Coastwide",26,"rosethorn rockfish",18
2012,3129861.74518146,1892102.89450383,5177326.54624957,14.9564993906722,0.256790422446415,"index","Coastwide",26,"rosethorn rockfish",18
2013,7102646.42372837,4119516.71432035,12245996.2463884,15.7759780082992,0.277929390795024,"index","Coastwide",26,"rosethorn rockfish",18
2014,4005616.81834919,2521750.98571527,6362629.05668734,15.2032081386982,0.236098259226098,"index","Coastwide",26,"rosethorn rockfish",18
2015,2377881.67248123,1398815.9994085,4042219.45610653,14.6817205957355,0.270711032377029,"index","Coastwide",26,"rosethorn rockfish",18
2016,4518329.60484885,2925594.0336051,6978173.38412345,15.3236529270562,0.22176163646078,"index","Coastwide",26,"rosethorn rockfish",18
2017,4685996.37695859,2921691.16466447,7515702.65551688,15.3600891248867,0.241032976136022,"index","Coastwide",26,"rosethorn rockfish",18
2018,3447250.17201694,2144606.03746281,5541126.68755221,15.0530874196037,0.242158016877003,"index","Coastwide",26,"rosethorn rockfish",18
2019,4023000.50221,1821564.29759341,8884963.90830908,15.2075385757666,0.404258643502353,"index","Coastwide",26,"rosethorn rockfish",18
2021,3376866.06743518,2116787.74670699,5387041.97203272,15.0324586383607,0.238294355565354,"index","Coastwide",26,"rosethorn rockfish",18
2022,1905882.09448436,1125535.56559185,3227251.69165671,14.4604555010963,0.268722265616095,"index","Coastwide",26,"rosethorn rockfish",18
2023,3418978.8458588,2005631.57923405,5828296.91627322,15.0448524813718,0.272139138447042,"index","Coastwide",26,"rosethorn rockfish",18
2024,4279447.83945441,2646034.41871295,6921177.4726343,15.2693345497623,0.24529120032511,"index","Coastwide",26,"rosethorn rockfish",18
