"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,541488.724233442,314989.033262402,930857.926814556,13.2020775219994,0.276425701753321,"index","Coastwide",27,"rougheye rockfish",11
2004,1093522.89764973,610924.367108594,1957349.21058028,13.90491505866,0.297039444693973,"index","Coastwide",27,"rougheye rockfish",11
2005,1203862.33115045,662696.643514153,2186950.1325338,14.001045555415,0.304583628538598,"index","Coastwide",27,"rougheye rockfish",11
2006,659017.748685701,390507.64388605,1112153.3723665,13.3985057458772,0.266996193461964,"index","Coastwide",27,"rougheye rockfish",11
2007,811354.129537167,496305.732661027,1326391.13392354,13.6064598956659,0.250776283256283,"index","Coastwide",27,"rougheye rockfish",11
2008,1017843.34699211,621240.910587487,1667638.20823773,13.8331965811395,0.251903789861993,"index","Coastwide",27,"rougheye rockfish",11
2009,1012485.90916451,558388.571086736,1835868.01259486,13.8279191609914,0.303632517085152,"index","Coastwide",27,"rougheye rockfish",11
2010,864833.056230418,499973.440147582,1495951.89482079,13.6702917687098,0.279587541783247,"index","Coastwide",27,"rougheye rockfish",11
2011,1190337.02535755,685165.943095225,2067969.44333841,13.9897470395762,0.281806555290429,"index","Coastwide",27,"rougheye rockfish",11
2012,599073.54764872,306724.154513874,1170071.25200565,13.3031396536149,0.341555026385866,"index","Coastwide",27,"rougheye rockfish",11
2013,1034776.99167824,551933.579288975,1940022.24667338,13.8496964944877,0.320676047519794,"index","Coastwide",27,"rougheye rockfish",11
2014,475171.521777299,236419.420412044,955031.421338564,13.0714311163149,0.356163893846084,"index","Coastwide",27,"rougheye rockfish",11
2015,1226101.18913142,729867.801339484,2059721.12104483,14.0193499280687,0.26466365172563,"index","Coastwide",27,"rougheye rockfish",11
2016,1067935.14794697,610574.569448159,1867888.9316522,13.8812375737625,0.285251090438597,"index","Coastwide",27,"rougheye rockfish",11
2017,638561.152447321,347665.548551756,1172852.32060935,13.3669727250406,0.310197789643578,"index","Coastwide",27,"rougheye rockfish",11
2018,921931.272733827,511733.87235683,1660936.11847516,13.7342259582569,0.300345299487346,"index","Coastwide",27,"rougheye rockfish",11
2019,967342.577985367,375051.888665122,2494992.53693639,13.7823079805547,0.483421288796316,"index","Coastwide",27,"rougheye rockfish",11
2021,1011425.88073057,599569.875976315,1706193.64514576,13.8268716563164,0.2667925822577,"index","Coastwide",27,"rougheye rockfish",11
2022,498290.87814046,244692.445055937,1014717.8805673,13.1189392781426,0.362854577487049,"index","Coastwide",27,"rougheye rockfish",11
2023,745152.368319173,414267.832140494,1340321.4271857,13.5213439976839,0.299534083862588,"index","Coastwide",27,"rougheye rockfish",11
2024,375992.767394822,177651.276845028,795775.654663824,12.837325186535,0.382531211596887,"index","Coastwide",27,"rougheye rockfish",11
