"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,117741527.004856,103034875.800181,134547327.531315,18.5840023307758,0.0680748436933723,"index","Coastwide",29,"sablefish",13
2004,136750627.027794,118040493.217027,158426430.48019,18.7336695844682,0.075068368199414,"index","Coastwide",29,"sablefish",13
2005,130588039.451614,114532318.96544,148894532.144783,18.6875581890784,0.0669352025221358,"index","Coastwide",29,"sablefish",13
2006,121182258.389278,106296048.339621,138153204.918832,18.6128062379577,0.0668724379499469,"index","Coastwide",29,"sablefish",13
2007,121124869.661843,106249882.849128,138082355.078275,18.6123325521114,0.0668523962548245,"index","Coastwide",29,"sablefish",13
2008,84867256.5865462,74481277.5550473,96701499.71855,18.2565989065329,0.0666035517907047,"index","Coastwide",29,"sablefish",13
2009,73401366.9821276,64304256.2139887,83785444.2622873,18.111453117146,0.0675097798270581,"index","Coastwide",29,"sablefish",13
2010,79167265.3428761,69895664.0716389,89668736.7537643,18.1870734549681,0.0635518209105687,"index","Coastwide",29,"sablefish",13
2011,93082549.6721928,82094576.8320898,105541210.976672,18.34899728829,0.0640903469034685,"index","Coastwide",29,"sablefish",13
2012,85625430.4972547,75437096.9449531,97189773.2648727,18.2654928822392,0.064635457248742,"index","Coastwide",29,"sablefish",13
2013,97429645.2012757,83671107.2433461,113450581.410841,18.3946410878192,0.0776732671512177,"index","Coastwide",29,"sablefish",13
2014,91453601.5712288,80598858.5858957,103770219.418624,18.3313423149806,0.064464076924852,"index","Coastwide",29,"sablefish",13
2015,98835084.9890501,86888137.9774434,112424713.570553,18.4089632109062,0.065731377203741,"index","Coastwide",29,"sablefish",13
2016,99808082.2638309,88110664.4549248,113058428.815728,18.4187597226101,0.063600959293784,"index","Coastwide",29,"sablefish",13
2017,118815279.698935,104705720.89196,134826163.935234,18.5930805736168,0.0644992762438509,"index","Coastwide",29,"sablefish",13
2018,121641131.035485,107032222.685511,138244020.243028,18.6165857189502,0.0652793756799899,"index","Coastwide",29,"sablefish",13
2019,113891243.453098,95493791.7960225,135833074.499752,18.5507545462092,0.089890810051863,"index","Coastwide",29,"sablefish",13
2021,161821967.569889,144173105.409776,181631304.352929,18.9020073232732,0.0589205045150801,"index","Coastwide",29,"sablefish",13
2022,252936142.908886,223090372.295699,286774779.795631,19.348647615264,0.0640624582865171,"index","Coastwide",29,"sablefish",13
2023,230108335.930144,203274053.212379,260485022.204082,19.2540607817729,0.063263988712238,"index","Coastwide",29,"sablefish",13
2024,214740879.97717,190176901.159761,242477636.622288,19.1849426498345,0.0619794012026212,"index","Coastwide",29,"sablefish",13
