"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,52943625.4788259,24886364.6585997,112633063.016441,17.7847382352069,0.385164030456065,"index","Coastwide",31,"sharpchin rockfish",15
2004,26967957.5317081,10945699.0458717,66443516.3422759,17.1101599611287,0.460060905390153,"index","Coastwide",31,"sharpchin rockfish",15
2005,8722221.98548413,3618294.21611487,21025696.5907405,15.9813845782745,0.448922186063428,"index","Coastwide",31,"sharpchin rockfish",15
2006,9943347.5759498,4425647.78301821,22340268.7840466,16.1124143002003,0.413011202875611,"index","Coastwide",31,"sharpchin rockfish",15
2007,11064681.8321843,4535258.13192777,26994534.9274814,16.2192687766196,0.455047247706125,"index","Coastwide",31,"sharpchin rockfish",15
2008,26882395.5991544,9623643.53436705,75092473.0917898,17.1069821916404,0.524116107760775,"index","Coastwide",31,"sharpchin rockfish",15
2009,6399811.33353697,2768213.37651771,14795674.8754646,15.6717790687605,0.427592749525094,"index","Coastwide",31,"sharpchin rockfish",15
2010,3066350.5345332,1370905.94538912,6858607.35541799,14.9359986614721,0.410730153490745,"index","Coastwide",31,"sharpchin rockfish",15
2011,16925577.436207,7936318.68278467,36096732.3767449,16.6443364935341,0.38642363623346,"index","Coastwide",31,"sharpchin rockfish",15
2012,10980816.8568332,4848099.30921168,24871260.0862374,16.2116603862542,0.417131693035267,"index","Coastwide",31,"sharpchin rockfish",15
2013,13866895.1727948,5949917.58355586,32318226.0985808,16.4450149152349,0.431705376214259,"index","Coastwide",31,"sharpchin rockfish",15
2014,14770780.7941722,7195699.24624438,30320328.5467161,16.5081615166291,0.366928904661932,"index","Coastwide",31,"sharpchin rockfish",15
2015,17722641.0424757,8529516.51162365,36824127.7324937,16.6903535350645,0.37312435529767,"index","Coastwide",31,"sharpchin rockfish",15
2016,9987251.64503136,4883738.36860947,20423943.2772033,16.1168200021674,0.365005920574711,"index","Coastwide",31,"sharpchin rockfish",15
2017,16720333.4143082,8055263.4360634,34706444.0169641,16.6321361064692,0.372608799706461,"index","Coastwide",31,"sharpchin rockfish",15
2018,12955454.5384606,5920140.97256041,28351318.5034052,16.3770274573112,0.399577055486454,"index","Coastwide",31,"sharpchin rockfish",15
2019,12439819.7516163,5057098.35847035,30600376.8333884,16.3364131557504,0.459248094869562,"index","Coastwide",31,"sharpchin rockfish",15
2021,17162371.6167494,8485027.90783945,34713733.7331877,16.6582298485788,0.359402574950656,"index","Coastwide",31,"sharpchin rockfish",15
2022,11181158.6224812,4720627.08373008,26483411.191697,16.2297406538173,0.439951170102799,"index","Coastwide",31,"sharpchin rockfish",15
2023,7796173.27220142,3412639.50340026,17810354.0176535,15.8691435651452,0.421511300158932,"index","Coastwide",31,"sharpchin rockfish",15
2024,33510832.2966478,15838906.0786281,70899838.3877862,17.327379296667,0.382353666345445,"index","Coastwide",31,"sharpchin rockfish",15
