"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,41722164.8512864,28565466.5945478,60938582.4004069,17.5465430767623,0.193286200796921,"index","Coastwide",33,"splitnose rockfish",10
2004,79172865.6014681,52753477.8125559,118823306.205912,18.1871441920397,0.207148670587434,"index","Coastwide",33,"splitnose rockfish",10
2005,81087606.4826944,54791119.35613,120004847.543905,18.2110406896852,0.200004698829416,"index","Coastwide",33,"splitnose rockfish",10
2006,43125461.4422133,30462395.9985127,61052499.7670779,17.5796241333678,0.177360692993614,"index","Coastwide",33,"splitnose rockfish",10
2007,86165860.9107315,60797419.2469474,122119584.65425,18.2717846120682,0.177925061572393,"index","Coastwide",33,"splitnose rockfish",10
2008,42499583.6083751,30584461.9111123,59056608.9452441,17.5650048363967,0.16786133914503,"index","Coastwide",33,"splitnose rockfish",10
2009,53803989.8308812,38996411.6844063,74234248.6572722,17.8008581828076,0.164226482515866,"index","Coastwide",33,"splitnose rockfish",10
2010,45552759.2733612,31864055.866174,65122088.8556003,17.6343817566382,0.182346513683852,"index","Coastwide",33,"splitnose rockfish",10
2011,49512749.0290168,34649318.1797055,70752108.4165597,17.7177407505188,0.182121787584449,"index","Coastwide",33,"splitnose rockfish",10
2012,42482184.2161762,30010274.4765672,60137269.8935601,17.5645953510944,0.177322129534462,"index","Coastwide",33,"splitnose rockfish",10
2013,61788709.6182865,41286677.0708165,92471589.07326,17.9392312134769,0.205708268036196,"index","Coastwide",33,"splitnose rockfish",10
2014,34359599.3033433,24265921.821263,48651853.1206932,17.3523919932936,0.177456558481702,"index","Coastwide",33,"splitnose rockfish",10
2015,40255985.1612201,28016852.4915919,57841770.119849,17.5107692504318,0.184928137203292,"index","Coastwide",33,"splitnose rockfish",10
2016,53896677.5664978,37761409.5596797,76926467.6975599,17.8025793932836,0.18152433825541,"index","Coastwide",33,"splitnose rockfish",10
2017,53891942.529959,37928796.1904319,76573520.9488425,17.8024915354645,0.179222864673598,"index","Coastwide",33,"splitnose rockfish",10
2018,55233356.953526,37792929.6571397,80722075.4789856,17.8270776213724,0.193597957604483,"index","Coastwide",33,"splitnose rockfish",10
2019,35169071.7610299,22004931.473295,56208473.5430108,17.3756776111826,0.239239328274002,"index","Coastwide",33,"splitnose rockfish",10
2021,47287992.7650227,33441316.7905477,66868008.6298783,17.6717669684882,0.176770720333522,"index","Coastwide",33,"splitnose rockfish",10
2022,47876283.943676,33739221.6990957,67936912.8516952,17.6841308237723,0.178553922071585,"index","Coastwide",33,"splitnose rockfish",10
2023,57400103.6682512,40018908.3093567,82330379.3211081,17.8655566673553,0.184030962854084,"index","Coastwide",33,"splitnose rockfish",10
2024,64984507.2504026,44479487.0262149,94942331.0590051,17.9896594494562,0.193432520847631,"index","Coastwide",33,"splitnose rockfish",10
