"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,19028019.0736972,10900646.3755351,33215049.584728,16.7614231389354,0.284235066246457,"index","Coastwide",34,"stripetail rockfish",10
2004,38654642.6330016,21759508.6188283,68667975.1486744,17.4701774456546,0.293176840158973,"index","Coastwide",34,"stripetail rockfish",10
2005,38837540.4319096,21461683.3516038,70281278.5972585,17.4748978737362,0.3026168567195,"index","Coastwide",34,"stripetail rockfish",10
2006,29843055.5190799,15066363.0978412,59112338.985279,17.2114627248097,0.348724528941817,"index","Coastwide",34,"stripetail rockfish",10
2007,21866920.3121262,12922278.1077755,37002933.9988561,16.9004855648189,0.268383605036298,"index","Coastwide",34,"stripetail rockfish",10
2008,23893541.7170509,13855909.2808472,41202733.3762643,16.9891187593416,0.278013474308548,"index","Coastwide",34,"stripetail rockfish",10
2009,18996260.4640865,12279103.632851,29387968.5691382,16.7597527000799,0.222628180706467,"index","Coastwide",34,"stripetail rockfish",10
2010,18692780.0287646,11047812.9451201,31627981.6593131,16.7436479125526,0.268323741599748,"index","Coastwide",34,"stripetail rockfish",10
2011,47073030.7731464,22464404.4282825,98639170.8377464,17.6672107999415,0.377439696206328,"index","Coastwide",34,"stripetail rockfish",10
2012,38762584.9831652,20418830.5929516,73585898.4547218,17.4729660347951,0.327045771514383,"index","Coastwide",34,"stripetail rockfish",10
2013,36011256.3328815,18978767.5837689,68329546.528699,17.3993421234608,0.326797181906025,"index","Coastwide",34,"stripetail rockfish",10
2014,42014889.6014279,21020730.1315794,83976671.4652904,17.553534627742,0.353330456735547,"index","Coastwide",34,"stripetail rockfish",10
2015,37741228.0476455,16124797.4243499,88336011.7376362,17.4462636370585,0.433882860108724,"index","Coastwide",34,"stripetail rockfish",10
2016,63604527.2062268,29370804.499035,137740043.220831,17.9681952082648,0.394233526583337,"index","Coastwide",34,"stripetail rockfish",10
2017,45664476.6461721,26225989.6086132,79510609.8373486,17.6368312373212,0.282948969902882,"index","Coastwide",34,"stripetail rockfish",10
2018,60896457.1711074,35248497.683725,105206710.631096,17.9246855564577,0.278960273432293,"index","Coastwide",34,"stripetail rockfish",10
2019,59828373.6435739,30438947.5570099,117593891.383106,17.9069905820379,0.344780348695592,"index","Coastwide",34,"stripetail rockfish",10
2021,64422875.3182498,39369214.5802664,105420108.288141,17.9809793348087,0.251272281365151,"index","Coastwide",34,"stripetail rockfish",10
2022,61885102.0650841,32926971.5663186,116310904.872994,17.9407900312251,0.321938235536651,"index","Coastwide",34,"stripetail rockfish",10
2023,43904986.8155009,24064908.2275698,80102024.4515584,17.5975384664801,0.306777687770679,"index","Coastwide",34,"stripetail rockfish",10
2024,56725017.1161651,33134178.035077,97112038.3135149,17.8537258903695,0.274316272115341,"index","Coastwide",34,"stripetail rockfish",10
