"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,2881508.99407805,1151440.51348835,7211049.10387249,14.8738246711721,0.468018974592371,"index","Coastwide",41,"widow rockfish",15
2004,1949707.45704993,602179.639020309,6312666.3901499,14.4831898972598,0.59943898105346,"index","Coastwide",41,"widow rockfish",15
2005,1565330.23245646,618409.135661592,3962196.86182488,14.263607370851,0.473836166872517,"index","Coastwide",41,"widow rockfish",15
2006,1561857.36052602,715597.067679726,3408899.39996384,14.2613862867267,0.398228620517318,"index","Coastwide",41,"widow rockfish",15
2007,1705744.31836579,788898.740270191,3688133.25603827,14.3495121238005,0.393435225146601,"index","Coastwide",41,"widow rockfish",15
2008,734407.465122606,290515.65123028,1856541.36892022,13.5068192831641,0.473175303111735,"index","Coastwide",41,"widow rockfish",15
2009,3350971.95838692,1597696.5031992,7028251.63816199,15.0247609985516,0.377908747317539,"index","Coastwide",41,"widow rockfish",15
2010,3953649.23970398,1783108.31968699,8766344.78008368,15.1901495685359,0.406273241983072,"index","Coastwide",41,"widow rockfish",15
2011,5233166.8381142,2445505.19445867,11198518.4973611,15.4705271667713,0.38815248123138,"index","Coastwide",41,"widow rockfish",15
2012,1063011.22026893,520801.224694776,2169720.04065446,13.8766162125543,0.364033470382125,"index","Coastwide",41,"widow rockfish",15
2013,11588291.4465821,4422389.4192143,30365597.8524808,16.2655057882784,0.491496321008029,"index","Coastwide",41,"widow rockfish",15
2014,5011122.14997361,2265678.88592933,11083364.6188374,15.4271704300115,0.405000007855295,"index","Coastwide",41,"widow rockfish",15
2015,2928813.14182782,1131526.7892097,7580860.21607539,14.8901078278813,0.485228002029784,"index","Coastwide",41,"widow rockfish",15
2016,37572716.8234179,18831161.0275624,74966649.5563651,17.4417887285747,0.35243768604761,"index","Coastwide",41,"widow rockfish",15
2017,5946231.11013887,2775325.0626596,12740008.3294387,15.5982681499548,0.388777405077752,"index","Coastwide",41,"widow rockfish",15
2018,7182144.93049994,3554354.69867553,14512678.1584088,15.7871086332499,0.358896670252851,"index","Coastwide",41,"widow rockfish",15
2019,4668701.46522189,2026226.54339462,10757322.9866232,15.3563915321406,0.4258781095584,"index","Coastwide",41,"widow rockfish",15
2021,1191077.2499752,474025.978858788,2992800.13897951,13.9903687076742,0.470085832212925,"index","Coastwide",41,"widow rockfish",15
2022,1059938.10624025,423003.527370126,2655932.43641476,13.8737210740441,0.46867456971641,"index","Coastwide",41,"widow rockfish",15
2023,2654463.39509184,1287633.10340055,5472192.2706663,14.7917530811545,0.36910718737809,"index","Coastwide",41,"widow rockfish",15
2024,5347207.73361301,2672129.73885374,10700315.2319528,15.4920850636742,0.353934409879928,"index","Coastwide",41,"widow rockfish",15
