"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,1129357.33868298,544657.276282199,2341744.16459327,13.9371593020729,0.372071774199765,"index","Coastwide",36,"yelloweye rockfish",13
2004,427941.271510702,147830.827224129,1238806.10898932,12.9667412490525,0.542314765871884,"index","Coastwide",36,"yelloweye rockfish",13
2005,508445.402240287,222067.046383186,1164138.17930107,13.1391131184806,0.422649854293898,"index","Coastwide",36,"yelloweye rockfish",13
2006,636032.87095298,272450.170019161,1484813.94929663,13.363005524875,0.432556168130253,"index","Coastwide",36,"yelloweye rockfish",13
2007,566209.842530365,231813.602043824,1382980.04496584,13.2467200349959,0.455636508521742,"index","Coastwide",36,"yelloweye rockfish",13
2008,948898.471883352,434476.617722987,2072397.62328624,13.763057087552,0.398558180502571,"index","Coastwide",36,"yelloweye rockfish",13
2009,872570.919827498,351746.036793107,2164573.1024297,13.6791992132253,0.463546530748145,"index","Coastwide",36,"yelloweye rockfish",13
2010,635139.580944594,295081.805214802,1367086.2796465,13.3616000662308,0.391125637810112,"index","Coastwide",36,"yelloweye rockfish",13
2011,665583.57467851,288793.195751836,1533974.83527452,13.4084194907185,0.426004442937365,"index","Coastwide",36,"yelloweye rockfish",13
2012,969714.796837792,410607.016277891,2290138.13677687,13.7847572833675,0.438459797658949,"index","Coastwide",36,"yelloweye rockfish",13
2013,954520.347233127,410468.141022155,2219682.85044776,13.7689642390848,0.430574567214573,"index","Coastwide",36,"yelloweye rockfish",13
2014,2257235.84818465,1117242.66479468,4560436.00453284,14.6296515466561,0.358821514497293,"index","Coastwide",36,"yelloweye rockfish",13
2015,741445.878277512,304958.103479328,1802680.38180522,13.5163574483852,0.45328780267417,"index","Coastwide",36,"yelloweye rockfish",13
2016,1183314.91023227,638001.908473882,2194717.84986881,13.9838303038445,0.315176072140238,"index","Coastwide",36,"yelloweye rockfish",13
2017,532761.228807584,265823.317097378,1067756.32032532,13.185828626806,0.354721559506893,"index","Coastwide",36,"yelloweye rockfish",13
2018,584435.057358796,314822.453323673,1084942.74364482,13.2784009456953,0.315636834102276,"index","Coastwide",36,"yelloweye rockfish",13
2019,801764.866263122,294997.23629943,2179094.65470868,13.5945706596512,0.510136615129823,"index","Coastwide",36,"yelloweye rockfish",13
2021,933771.385085744,449912.970088488,1937994.80693668,13.7469869175345,0.372546373328829,"index","Coastwide",36,"yelloweye rockfish",13
2022,780109.287332181,381630.027251461,1594660.9457461,13.5671893008153,0.364793640714118,"index","Coastwide",36,"yelloweye rockfish",13
2023,635553.565756591,268083.413415056,1506726.31999258,13.3622516552123,0.440415337663579,"index","Coastwide",36,"yelloweye rockfish",13
2024,743134.665766252,394286.677920877,1400628.4320221,13.518632553261,0.323372789307908,"index","Coastwide",36,"yelloweye rockfish",13
