"year","est","lwr","upr","log_est","se","type","index","index_id","common_name","cutoff"
2003,16995456.7289888,8608642.08281245,33552974.6327384,16.6484566150666,0.347036716197357,"index","Coastwide",40,"yellowtail rockfish",10
2004,16640158.4977677,7530515.56202885,36769710.194481,16.6273295184182,0.404525521645787,"index","Coastwide",40,"yellowtail rockfish",10
2005,19029324.0588286,10855497.3253389,33357769.1821325,16.7614917188742,0.286387682494674,"index","Coastwide",40,"yellowtail rockfish",10
2006,6674505.47510823,3357896.18072813,13266944.8188806,15.71380567338,0.350506682598707,"index","Coastwide",40,"yellowtail rockfish",10
2007,20054273.2243704,10917408.5244764,36837851.5520455,16.8139528174057,0.310252451929298,"index","Coastwide",40,"yellowtail rockfish",10
2008,11711161.6248337,5743285.35977675,23880287.6770706,16.276052930042,0.363532681606819,"index","Coastwide",40,"yellowtail rockfish",10
2009,7940408.399857,4051503.93697357,15562143.474953,15.8874752676508,0.343310673228477,"index","Coastwide",40,"yellowtail rockfish",10
2010,21597229.5730474,12025375.4427978,38788005.2019723,16.8880756039212,0.298753453235346,"index","Coastwide",40,"yellowtail rockfish",10
2011,32646065.9170115,17541026.1128523,60758453.5249608,17.3012349138392,0.316935348934448,"index","Coastwide",40,"yellowtail rockfish",10
2012,37688576.2463953,20572693.9496851,69044374.2056489,17.4448675891622,0.308879334467998,"index","Coastwide",40,"yellowtail rockfish",10
2013,30281814.8442021,12126111.5525073,75620969.3674586,17.226057920147,0.466940342958521,"index","Coastwide",40,"yellowtail rockfish",10
2014,77545696.6443498,43522352.6862582,138166590.198056,18.1663779546783,0.294695586397034,"index","Coastwide",40,"yellowtail rockfish",10
2015,21428406.6115252,13081052.8427479,35102419.9220648,16.8802280115135,0.251817187503321,"index","Coastwide",40,"yellowtail rockfish",10
2016,88690137.4118214,57205385.6628609,137503495.221334,18.3006592507011,0.223728929356398,"index","Coastwide",40,"yellowtail rockfish",10
2017,68397095.4196184,41852848.1798598,111776446.89165,18.0408409170657,0.250601802629814,"index","Coastwide",40,"yellowtail rockfish",10
2018,28137478.1128745,17073416.7393314,46371367.0579271,17.1526129863336,0.2548923118265,"index","Coastwide",40,"yellowtail rockfish",10
2019,63393969.2074982,32657343.011774,123059470.283064,17.9648792919729,0.338424077169036,"index","Coastwide",40,"yellowtail rockfish",10
2021,16102110.3727232,7945416.42837448,32632393.8830234,16.5944609004157,0.360391892665193,"index","Coastwide",40,"yellowtail rockfish",10
2022,21204506.2447167,11120122.877365,40434003.296623,16.8697242757679,0.329321040596035,"index","Coastwide",40,"yellowtail rockfish",10
2023,14407993.2979306,8785432.62731252,23628918.4243299,16.4832937006748,0.25239656445176,"index","Coastwide",40,"yellowtail rockfish",10
2024,17776639.950286,9849680.59820948,32083165.0093862,16.6933957910172,0.301253599367012,"index","Coastwide",40,"yellowtail rockfish",10
