"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,282052690.343695,250509672.903647,317567458.405946,19.4576044566394,0.0605094611152994,"index","Coastwide",11,"Dover sole"
2004,294193091.048836,260405473.61822,332364652.778994,19.4997468819974,0.062244201854045,"index","Coastwide",11,"Dover sole"
2005,317123339.619904,283659678.469397,354534747.674865,19.5748013401425,0.0568967484601897,"index","Coastwide",11,"Dover sole"
2006,294954697.371832,264991969.680469,328305320.371076,19.5023323342802,0.054655215466404,"index","Coastwide",11,"Dover sole"
2007,352778476.160932,317276123.987987,392253446.865549,19.6813508716217,0.0541172522423492,"index","Coastwide",11,"Dover sole"
2008,304597270.374856,274717470.131857,337726963.906889,19.534501037042,0.0526781571917559,"index","Coastwide",11,"Dover sole"
2009,279164506.969309,251422020.804446,309968163.0991,19.4473117967361,0.0534032025989562,"index","Coastwide",11,"Dover sole"
2010,245743297.157526,223083315.863874,270704995.862181,19.3197980415739,0.0493591560607694,"index","Coastwide",11,"Dover sole"
2011,247687261.167533,223634207.841156,274327348.829607,19.3276774646653,0.0521209528133646,"index","Coastwide",11,"Dover sole"
2012,258751012.938539,234333592.001022,285712714.617664,19.3713768172745,0.0505726396531221,"index","Coastwide",11,"Dover sole"
2013,285207151.551182,251602562.692684,323300042.834994,19.4687263217552,0.063962937289845,"index","Coastwide",11,"Dover sole"
2014,295156606.522082,265426312.754656,328216978.450653,19.5030166430091,0.0541687628628514,"index","Coastwide",11,"Dover sole"
2015,279842853.341364,252350081.45788,310330878.887818,19.4497387655139,0.0527616184694728,"index","Coastwide",11,"Dover sole"
2016,292367741.85251,264327466.093125,323382574.423124,19.4935229577721,0.051441589871939,"index","Coastwide",11,"Dover sole"
2017,349936694.061707,312654565.400569,391664486.632228,19.6732628219786,0.0574772336244561,"index","Coastwide",11,"Dover sole"
2018,326593848.74192,295472920.673437,360992614.121641,19.6042279040977,0.0510928533805901,"index","Coastwide",11,"Dover sole"
2019,308359491.847073,267037365.047245,356075922.915738,19.546776841633,0.0734083341313376,"index","Coastwide",11,"Dover sole"
2021,335742215.687124,302684034.430199,372410905.671651,19.6318542082504,0.0528857572578923,"index","Coastwide",11,"Dover sole"
2022,426317956.535888,383463081.337739,473962185.436204,19.8706960026778,0.0540530831556524,"index","Coastwide",11,"Dover sole"
2023,398551548.762816,357315762.445554,444546123.389792,19.8033474048244,0.055723966475187,"index","Coastwide",11,"Dover sole"
2024,362525336.812392,326409934.4222,402636703.026767,19.7086049244714,0.0535419570795891,"index","Coastwide",11,"Dover sole"
2003,149867694.950682,126541534.800061,177493706.120432,18.8252634291778,0.0863190752132701,"index","California",11,"Dover sole"
2004,162085269.953003,137204963.274862,191477291.408972,18.9036331124536,0.0850253707178277,"index","California",11,"Dover sole"
2005,182256721.902415,156244503.387766,212599560.038124,19.0209268110394,0.0785698842480433,"index","California",11,"Dover sole"
2006,163774745.578654,141408958.308427,189677992.188097,18.9140025391,0.0749176395406811,"index","California",11,"Dover sole"
2007,198390500.427442,170275700.069129,231147431.159419,19.1057478707586,0.0779700165298731,"index","California",11,"Dover sole"
2008,172489748.445289,149386449.365175,199166078.617939,18.965848363367,0.0733693263339625,"index","California",11,"Dover sole"
2009,155752322.611954,134462319.559036,180413264.315042,18.8637776279569,0.074992736263258,"index","California",11,"Dover sole"
2010,134136915.979153,117082666.402053,153675285.858392,18.7143715973111,0.0693792358768067,"index","California",11,"Dover sole"
2011,135753495.189188,117460758.780119,156895048.588773,18.7263512636969,0.0738464568219068,"index","California",11,"Dover sole"
2012,142456216.410606,123971281.225343,163697377.275124,18.7745452572021,0.0709118966341485,"index","California",11,"Dover sole"
2013,171250672.657995,145100327.894642,202113898.096152,18.9586389630288,0.0845438930001222,"index","California",11,"Dover sole"
2014,175828973.591632,151929599.631957,203487852.460475,18.9850223395995,0.0745393943711337,"index","California",11,"Dover sole"
2015,151709886.897644,131262240.922968,175342807.045349,18.8374806162072,0.0738650802193135,"index","California",11,"Dover sole"
2016,156377760.385373,135405706.298704,180598030.995827,18.8677851789401,0.0734702874712707,"index","California",11,"Dover sole"
2017,202986322.136891,172377385.445454,239030467.182135,19.1286491561,0.0833956259961816,"index","California",11,"Dover sole"
2018,177028055.30438,154150112.624689,203301391.294808,18.9918187825221,0.070604021655481,"index","California",11,"Dover sole"
2019,165854292.818882,136914232.202512,200911519.598376,18.926620206766,0.0978359617063809,"index","California",11,"Dover sole"
2021,183901482.673573,158930680.395774,212795636.722372,19.0299107519323,0.0744565003827222,"index","California",11,"Dover sole"
2022,241804747.474492,209955228.747126,278485733.601923,19.3036411298418,0.0720606406270372,"index","California",11,"Dover sole"
2023,227899665.434602,196108448.398999,264844569.059722,19.2444160261789,0.0766532727282177,"index","California",11,"Dover sole"
2024,206602790.398328,178351594.190888,239329024.189662,19.1463086208429,0.0750224053710713,"index","California",11,"Dover sole"
2003,84267072.3521547,71369669.8128637,99495198.750708,18.2495017458629,0.0847557417637525,"index","Oregon",11,"Dover sole"
2004,81250595.5266195,67961927.8040283,97137610.5231526,18.2130487087057,0.0911192700494059,"index","Oregon",11,"Dover sole"
2005,88692236.832386,74890842.6733334,105037045.832748,18.3006829218305,0.0862978824380387,"index","Oregon",11,"Dover sole"
2006,89653350.4133924,77069248.4158784,104292222.975546,18.3114611294687,0.0771678586557804,"index","Oregon",11,"Dover sole"
2007,107063789.748884,92559110.1293104,123841457.198317,18.4889353806673,0.0742755249584747,"index","Oregon",11,"Dover sole"
2008,82906371.0733204,71516530.0510059,96110177.040817,18.2332224696654,0.0754010279589384,"index","Oregon",11,"Dover sole"
2009,87179564.5669826,75166845.2465495,101112085.430213,18.2834805101186,0.0756440971703451,"index","Oregon",11,"Dover sole"
2010,75292946.6454366,65064258.4046153,87129676.931051,18.1368970183355,0.0744968219422227,"index","Oregon",11,"Dover sole"
2011,73005689.8734723,62764778.8429342,84917542.1654758,18.1060479395475,0.0771153516516221,"index","Oregon",11,"Dover sole"
2012,80028502.3497145,69460635.5867063,92204183.4809242,18.1978934085572,0.072257783325125,"index","Oregon",11,"Dover sole"
2013,74883437.1738746,62490613.4549308,89733943.2748227,18.131443291509,0.0923059679817516,"index","Oregon",11,"Dover sole"
2014,77713487.8622716,66701491.273549,90543495.811081,18.1685393892341,0.0779613920863685,"index","Oregon",11,"Dover sole"
2015,87562749.0782773,75403342.0067433,101682960.225552,18.2878662266345,0.0762789888594829,"index","Oregon",11,"Dover sole"
2016,90119913.0249894,78665544.0159154,103242135.107952,18.3166517084256,0.0693563281070869,"index","Oregon",11,"Dover sole"
2017,100937489.117556,87197365.9200647,116842711.954128,18.4300119635676,0.074658148638202,"index","Oregon",11,"Dover sole"
2018,100103028.241714,86284111.4010255,116135127.31896,18.4217104959928,0.0757944875373073,"index","Oregon",11,"Dover sole"
2019,98037752.648687,80286561.0811431,119713695.729117,18.4008631935614,0.101915335749023,"index","Oregon",11,"Dover sole"
2021,102276916.854726,88138264.3450163,118683613.740802,18.4431945637672,0.0759081492212809,"index","Oregon",11,"Dover sole"
2022,122998690.431782,106126972.594417,142552618.604794,18.6276842663839,0.0752756059103798,"index","Oregon",11,"Dover sole"
2023,114996263.364018,97824996.5574359,135181610.560266,18.5604101933128,0.0825114663936439,"index","Oregon",11,"Dover sole"
2024,100419013.79991,86606541.7674275,116434372.355219,18.4248621277689,0.0754994572435284,"index","Oregon",11,"Dover sole"
2003,47917923.0408579,39179091.0466397,58605937.177466,17.685000168613,0.102729641672913,"index","Washington",11,"Dover sole"
2004,50857225.5692132,41047024.0984843,63012056.2794549,17.7445327661206,0.109340718060103,"index","Washington",11,"Dover sole"
2005,46174380.8851044,37833294.2124364,56354422.5927293,17.647935675949,0.101652686139099,"index","Washington",11,"Dover sole"
2006,41526601.3797859,32960584.1186932,52318812.5533746,17.5418447769533,0.117870427150365,"index","Washington",11,"Dover sole"
2007,47324185.9846066,38846624.2198072,57651819.793487,17.6725320543752,0.100716297645637,"index","Washington",11,"Dover sole"
2008,49201150.8562473,40447096.3523335,59849864.734222,17.7114275725761,0.0999621211691522,"index","Washington",11,"Dover sole"
2009,36232619.7903739,29495195.8666131,44509036.0752548,17.4054703702315,0.104967446231277,"index","Washington",11,"Dover sole"
2010,36313434.5329374,30239100.6909254,43607961.1313853,17.4076983280921,0.0933955724489079,"index","Washington",11,"Dover sole"
2011,38928076.1048706,32361543.586663,46827034.2287113,17.4772262990197,0.094259359359111,"index","Washington",11,"Dover sole"
2012,36266294.1782185,29626333.4188824,44394426.9047757,17.4063993328441,0.103178001285979,"index","Washington",11,"Dover sole"
2013,39073041.7193133,30641351.9794497,49824909.4956095,17.4809433170675,0.124023855777975,"index","Washington",11,"Dover sole"
2014,41614145.0681788,34243890.4392433,50570687.1369637,17.5439506931132,0.0994569130994932,"index","Washington",11,"Dover sole"
2015,40570217.3654415,33000872.3366919,49875728.1409537,17.5185447929558,0.105359201014972,"index","Washington",11,"Dover sole"
2016,45870068.4421474,36998114.7045608,56869470.1254039,17.6413233586618,0.109668261752633,"index","Washington",11,"Dover sole"
2017,46012882.807259,37354841.5145264,56677670.1063295,17.644431976271,0.106358530675344,"index","Washington",11,"Dover sole"
2018,49462765.1958257,40488140.3315678,60426710.6560549,17.7167307262147,0.102150381292668,"index","Washington",11,"Dover sole"
2019,44467446.3795038,34432741.9170832,57426556.1620295,17.6102679373954,0.130486820078436,"index","Washington",11,"Dover sole"
2021,49563816.158826,40307835.2563481,60945269.241146,17.7187716125442,0.10546886724509,"index","Washington",11,"Dover sole"
2022,61514518.6296157,47920472.7147405,78964913.9055622,17.9347837801937,0.127415812625041,"index","Washington",11,"Dover sole"
2023,55655619.9641944,45446107.0325554,68158710.0822499,17.8346936182634,0.103397765873145,"index","Washington",11,"Dover sole"
2024,55503532.6141549,45147661.6589656,68234810.3855516,17.8319572273965,0.105363253120187,"index","Washington",11,"Dover sole"
