"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,37536981.2225566,31294640.2956964,45024481.7000288,17.4408371709333,0.092797504484494,"index","Coastwide",12,"English sole"
2004,36782051.9551316,31113916.5230825,43482772.2516484,17.4205205655552,0.0853866770956855,"index","Coastwide",12,"English sole"
2005,29220346.011543,25452937.833714,33545385.865177,17.1903758058164,0.0704268430936341,"index","Coastwide",12,"English sole"
2006,19602205.9177269,16537318.0647082,23235114.3841744,16.7911526646906,0.0867478076460098,"index","Coastwide",12,"English sole"
2007,19132122.2261888,16157891.9742479,22653827.7060652,16.7668792723354,0.086205725338859,"index","Coastwide",12,"English sole"
2008,14276005.6352646,12089912.4361731,16857387.3445373,16.4740907583291,0.084801955413941,"index","Coastwide",12,"English sole"
2009,15758541.6926364,13335448.1100239,18621919.1308537,16.5728931059195,0.0851835993679067,"index","Coastwide",12,"English sole"
2010,17498688.4133043,14965284.322482,20460960.8202301,16.6776364882738,0.079793706035144,"index","Coastwide",12,"English sole"
2011,17904266.6936873,15469648.2060455,20722046.2656291,16.7005496051829,0.0745723515549038,"index","Coastwide",12,"English sole"
2012,18192414.1976867,15800680.8890106,20946181.7921008,16.7165152628359,0.0719154395886072,"index","Coastwide",12,"English sole"
2013,27796794.7268421,23379323.7718313,33048936.9421859,17.140431274418,0.0883019716452572,"index","Coastwide",12,"English sole"
2014,28475506.7189609,24810868.3456539,32681422.979846,17.1645548623617,0.0702882851766755,"index","Coastwide",12,"English sole"
2015,34616686.2355366,29934080.1102335,40031795.2486511,17.3598463849201,0.0741535016816827,"index","Coastwide",12,"English sole"
2016,31040380.3187788,26813915.686386,35933029.0138722,17.2507995057422,0.0746788992786722,"index","Coastwide",12,"English sole"
2017,32066893.9574007,27989340.1628278,36738475.5086451,17.2833347150113,0.0693892484264588,"index","Coastwide",12,"English sole"
2018,36480072.5909109,31403627.7294334,42377132.5944876,17.4122767130509,0.0764517803608647,"index","Coastwide",12,"English sole"
2019,33214319.868746,27118745.5020263,40680017.601144,17.3184916622422,0.103448788434294,"index","Coastwide",12,"English sole"
2021,28587393.1852344,24465219.9558151,33404116.1535905,17.1684763808911,0.0794470249567345,"index","Coastwide",12,"English sole"
2022,41292720.0947744,34763434.7933628,49048338.9504116,17.5361967735024,0.0878179940253067,"index","Coastwide",12,"English sole"
2023,32747000.89831,28168485.1732217,38069710.2183316,17.3043219402281,0.0768420121379537,"index","Coastwide",12,"English sole"
2024,25913384.769276,22285183.5814277,30132285.3252226,17.0702701796402,0.0769593618091414,"index","Coastwide",12,"English sole"
2003,16424165.6178638,13323334.1822528,20246674.9353433,16.6142643215234,0.106755439098714,"index","California",12,"English sole"
2004,15139751.5356373,12103260.3482787,18938043.9621323,16.5328343947185,0.114210756902418,"index","California",12,"English sole"
2005,14285229.7515053,11893517.9476704,17157899.7863507,16.4747366769272,0.0934877268047327,"index","California",12,"English sole"
2006,8016217.70418889,6404920.23206667,10032872.2220818,15.8969772606442,0.114492012704672,"index","California",12,"English sole"
2007,5958580.75081113,4770371.23788341,7442750.84546463,15.6003428816258,0.113475653581124,"index","California",12,"English sole"
2008,5612484.88240876,4557326.94701428,6911943.540918,15.5405041174716,0.106255678846065,"index","California",12,"English sole"
2009,5293393.66759706,4337837.7323364,6459443.21782291,15.4819701232108,0.101575111181776,"index","California",12,"English sole"
2010,4227195.85878295,3414117.89820043,5233909.71293949,15.2570494136501,0.108991644668622,"index","California",12,"English sole"
2011,6261606.44441875,5157179.04131861,7602550.72601894,15.649947330669,0.0990054111475092,"index","California",12,"English sole"
2012,8621531.18853875,7275911.70890492,10216011.8221299,15.9697732589462,0.0865799455006526,"index","California",12,"English sole"
2013,12202853.4478337,9792791.56006496,15206045.3197595,16.3171803715224,0.112258824838557,"index","California",12,"English sole"
