"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,6720462.53500462,4876544.16923319,9261603.11832113,15.7206675397445,0.163635749101768,"index","Coastwide",19,"Pacific cod"
2004,6265865.826839,4200326.11526281,9347149.12189438,15.6506273373763,0.204062224510569,"index","Coastwide",19,"Pacific cod"
2005,1650205.35288091,995999.831162731,2734114.62680448,14.3164102944242,0.257610819053535,"index","Coastwide",19,"Pacific cod"
2006,1335942.63427266,588893.299428449,3030672.4899053,14.1051476937382,0.417940028207632,"index","Coastwide",19,"Pacific cod"
2007,444645.623662149,251707.702313848,785473.502894169,13.0050328925712,0.290316105416642,"index","Coastwide",19,"Pacific cod"
2008,975782.553264105,490991.108741295,1939244.06023472,13.7909950467862,0.350421616958729,"index","Coastwide",19,"Pacific cod"
2009,908368.039992036,485655.09505516,1699009.24438002,13.719404905847,0.31947063354354,"index","Coastwide",19,"Pacific cod"
2010,4942372.98939152,3124043.7813344,7819048.79573523,15.4133561360521,0.234043755556353,"index","Coastwide",19,"Pacific cod"
2011,5821024.43675948,3439532.12501647,9851434.51543974,15.5769868242797,0.268444123718639,"index","Coastwide",19,"Pacific cod"
2012,3283997.65506105,1720565.69035022,6268078.37615966,15.0045720355046,0.329806239373582,"index","Coastwide",19,"Pacific cod"
2013,2765326.37128106,1585163.23109053,4824127.75524802,14.8326692226025,0.283919134272748,"index","Coastwide",19,"Pacific cod"
2014,2480717.2625644,1555195.63209744,3957031.52052025,14.7240582951014,0.238242332348762,"index","Coastwide",19,"Pacific cod"
2015,4160672.5706466,2931718.78357333,5904794.25827849,15.2411872948056,0.178619542507596,"index","Coastwide",19,"Pacific cod"
2016,4089572.29365184,2464802.19057983,6785372.72034412,15.2239509488715,0.258335784665285,"index","Coastwide",19,"Pacific cod"
2017,2475940.92402593,1415346.96290346,4331293.75336394,14.7221310530617,0.285334728089712,"index","Coastwide",19,"Pacific cod"
2018,607318.963420423,227018.164952036,1624699.6067825,13.3168094071851,0.502062333731574,"index","Coastwide",19,"Pacific cod"
2019,1077700.69188131,453461.103954434,2561275.4239626,13.8903403405828,0.441679322232484,"index","Coastwide",19,"Pacific cod"
2021,194270.797158685,61313.3065280333,615545.707217979,12.1770083263789,0.588406809958086,"index","Coastwide",19,"Pacific cod"
2022,1313489.26303289,675439.988821025,2554266.95584621,14.088197713756,0.339331807221628,"index","Coastwide",19,"Pacific cod"
2023,1761748.65642274,1023074.45336736,3033756.06554498,14.3818174285511,0.277298262168298,"index","Coastwide",19,"Pacific cod"
2024,1136679.63853629,472129.173879029,2736625.21222221,13.9436219727285,0.448280723044109,"index","Coastwide",19,"Pacific cod"
2003,45532.7103852907,13679.929941157,151552.509694754,10.7261862562142,0.613532287223833,"index","California",19,"Pacific cod"
2004,30932.8556359941,7387.94542423863,129513.890919932,10.339574187185,0.730609972565982,"index","California",19,"Pacific cod"
2005,3459.54628724988,771.240740811282,15518.4495324178,8.14889272860073,0.765775376855454,"index","California",19,"Pacific cod"
2006,1937.03791191919,361.963570005194,10366.0041593644,7.56891523570858,0.855817595385707,"index","California",19,"Pacific cod"
2007,697.520825337162,148.705554895547,3271.8031422618,6.54753237036402,0.788567633586368,"index","California",19,"Pacific cod"
2008,1892.03588559198,401.453845225836,8917.08931160953,7.54540871644674,0.790992159931266,"index","California",19,"Pacific cod"
2009,1547.00603248053,336.901106135908,7103.65036191275,7.34407675003575,0.77771190102234,"index","California",19,"Pacific cod"
2010,10721.1080931151,2566.55208710472,44784.6585003159,9.27996979617787,0.729427239819373,"index","California",19,"Pacific cod"
2011,8087.93643059679,1791.69365051769,36509.9891303817,8.99812890095092,0.768999985648318,"index","California",19,"Pacific cod"
2012,4547.11336966689,937.845752475288,22046.525179681,8.42224788636374,0.805454797293283,"index","California",19,"Pacific cod"
2013,6123.44296404788,1335.27623422051,28081.4956283834,8.71987979314473,0.77704811859237,"index","California",19,"Pacific cod"
2014,5739.23142451209,1291.13078066517,25511.5731398933,8.65508058217983,0.761139952774135,"index","California",19,"Pacific cod"
2015,20131.3163121255,5004.66533368675,80978.4210206723,9.91003190706355,0.710169214804619,"index","California",19,"Pacific cod"
2016,9123.92276759146,2041.81946543892,40770.4834232633,9.11865511861521,0.763819410083253,"index","California",19,"Pacific cod"
2017,4212.56248896409,906.230509735424,19581.8641424997,8.34582640872604,0.783959665283263,"index","California",19,"Pacific cod"
2018,597.113244350215,95.0835032770071,3749.80111470776,6.39210678443275,0.937441356851507,"index","California",19,"Pacific cod"
2019,1387.70807584882,239.940078014313,8025.89429708009,7.23540879895275,0.895434607762423,"index","California",19,"Pacific cod"
2021,210.584816777884,31.8986117203971,1390.21614627255,5.34988850202912,0.962939129396811,"index","California",19,"Pacific cod"
2022,2913.780760954,622.550628243238,13637.6351379867,7.97720674746421,0.787454159410718,"index","California",19,"Pacific cod"
2023,2189.48352037497,452.648684067463,10590.6374076172,7.69142095955177,0.804251853219111,"index","California",19,"Pacific cod"
2024,1329.22936667024,240.936722980234,7333.25616520284,7.19235462972889,0.871352894457384,"index","California",19,"Pacific cod"
2003,1218807.8518514,685270.37142634,2167746.69046713,14.0133837683534,0.293788575052125,"index","Oregon",19,"Pacific cod"
2004,1053204.96935154,586820.282469328,1890256.25153772,13.8673484249292,0.298410858747247,"index","Oregon",19,"Pacific cod"
2005,146743.545150431,65900.4572781103,326760.525385145,11.8964417513767,0.408446837929114,"index","Oregon",19,"Pacific cod"
2006,93754.2903918745,32451.5525639974,270861.215331671,11.4484327069655,0.541300324668694,"index","Oregon",19,"Pacific cod"
2007,26257.5657740893,10486.8235394206,65745.3382131304,10.1757094464577,0.468291563828218,"index","Oregon",19,"Pacific cod"
2008,80128.0068421514,31842.4660127113,201633.173697441,11.29138072041,0.470837546292648,"index","Oregon",19,"Pacific cod"
2009,59770.677371262,23037.1384860415,155077.154030399,10.9982704747181,0.486441369737551,"index","Oregon",19,"Pacific cod"
2010,447884.079169529,244300.70985314,821119.793283146,13.0122897260614,0.309258010830407,"index","Oregon",19,"Pacific cod"
2011,300701.963336327,131976.672017676,685133.738955105,12.6138748981749,0.420157944665767,"index","Oregon",19,"Pacific cod"
2012,177384.432184742,68866.8234935252,456899.78403696,12.0860745895657,0.482735791462662,"index","Oregon",19,"Pacific cod"
2013,219396.274501868,95583.7202567106,503587.066249596,12.2986348462865,0.423924652954683,"index","Oregon",19,"Pacific cod"
2014,201829.100955217,94559.508842038,430786.776403832,12.2151765834187,0.386839733236764,"index","Oregon",19,"Pacific cod"
2015,736917.083045244,453381.282340998,1197770.63684661,13.5102306587977,0.247832066970865,"index","Oregon",19,"Pacific cod"
2016,450882.836681236,216960.801741196,937014.109379171,13.0189627991055,0.373216459999776,"index","Oregon",19,"Pacific cod"
2017,165897.353618163,68579.1538469634,401316.295020584,12.0191245243826,0.45071268839597,"index","Oregon",19,"Pacific cod"
2018,25064.3876259427,6205.66525296456,101233.872833117,10.1292032979586,0.712250533517174,"index","Oregon",19,"Pacific cod"
2019,56697.2083165782,16243.5034242195,197899.021346617,10.9454802524645,0.637783114272801,"index","Oregon",19,"Pacific cod"
2021,8772.0857632014,2066.99103349613,37227.7805708753,9.07932988641673,0.737503686841889,"index","Oregon",19,"Pacific cod"
2022,127230.086231369,55824.6388714557,289970.435450833,11.7537524288962,0.420304570719731,"index","Oregon",19,"Pacific cod"
2023,85340.1285748959,32003.2111894752,227568.961816397,11.3544000633602,0.50042171421436,"index","Oregon",19,"Pacific cod"
