"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,9981402.82837791,5012748.10286846,19875006.7583368,16.1162342023752,0.351404087832339,"index","Coastwide",20,"Pacific ocean perch"
2004,5450424.87572248,2170917.76070219,13684134.8224474,15.511204122449,0.469673709519394,"index","Coastwide",20,"Pacific ocean perch"
2005,7203204.64136773,3393006.28802426,15292089.8757411,15.7900365740424,0.384093627730616,"index","Coastwide",20,"Pacific ocean perch"
2006,6216477.73536807,2654624.97552489,14557459.4493092,15.6427140238306,0.434140667898775,"index","Coastwide",20,"Pacific ocean perch"
2007,4835806.31710862,2318734.8958481,10085250.7022086,15.3915584396891,0.375020232050279,"index","Coastwide",20,"Pacific ocean perch"
2008,3450134.90857293,1569076.0524762,7586267.64366738,15.0539238921772,0.402010647088577,"index","Coastwide",20,"Pacific ocean perch"
2009,3992001.88855376,2021157.72215577,7884629.14275652,15.199803389498,0.347262684358144,"index","Coastwide",20,"Pacific ocean perch"
2010,8107133.13874299,4153399.50304896,15824533.0556467,15.9082548665244,0.341239511316609,"index","Coastwide",20,"Pacific ocean perch"
2011,6901902.57082857,3458569.4497659,13773399.606139,15.7473076664623,0.352527936328901,"index","Coastwide",20,"Pacific ocean perch"
2012,9630854.20198182,5029835.18179187,18440634.5948671,16.0804824820193,0.331426859188975,"index","Coastwide",20,"Pacific ocean perch"
2013,7485745.02569328,3914003.90620854,14316893.8847518,15.8285111067133,0.330842651641093,"index","Coastwide",20,"Pacific ocean perch"
2014,4313994.9699982,2288130.90154588,8133517.44369007,15.2773749399589,0.323541199175819,"index","Coastwide",20,"Pacific ocean perch"
2015,6399280.91655743,3343467.52612431,12248001.7912677,15.6716961852295,0.33121893180721,"index","Coastwide",20,"Pacific ocean perch"
2016,12645379.2672369,5462558.8418319,29273024.1343526,16.3528024310913,0.42826018611777,"index","Coastwide",20,"Pacific ocean perch"
2017,13394193.3116463,5739428.78608078,31258235.1234745,16.4103318360526,0.432386306081924,"index","Coastwide",20,"Pacific ocean perch"
2018,12236513.2182917,5608286.50539602,26698396.3100604,16.3199349266793,0.398057891750896,"index","Coastwide",20,"Pacific ocean perch"
2019,17306371.8537533,6231192.7334436,48066320.4546495,16.6665853069025,0.521186609820179,"index","Coastwide",20,"Pacific ocean perch"
2021,5526352.16101955,3277454.16703773,9318381.47875889,15.5250385104515,0.266566632944867,"index","Coastwide",20,"Pacific ocean perch"
