"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,47836945.1570437,35303638.8601109,64819757.8449515,17.6833088101548,0.155009077771169,"index","Coastwide",22,"Pacific spiny dogfish"
2004,42243300.5716707,30724153.4451912,58081224.153885,17.5589563328435,0.162450266921421,"index","Coastwide",22,"Pacific spiny dogfish"
2005,42683948.2011347,33589455.6043314,54240814.6026106,17.569333487175,0.122252620294765,"index","Coastwide",22,"Pacific spiny dogfish"
2006,47722167.9287485,37351710.0652451,60971915.5519668,17.6809065843538,0.125011139445446,"index","Coastwide",22,"Pacific spiny dogfish"
2007,34317585.406775,26776935.5089502,43981756.9026022,17.3511684748285,0.126592640060859,"index","Coastwide",22,"Pacific spiny dogfish"
2008,39244998.5117967,31393673.6919027,49059881.4049655,17.4853345676222,0.113888629374512,"index","Coastwide",22,"Pacific spiny dogfish"
2009,18407251.9351555,14080311.676393,24063879.5213862,16.7282552718422,0.136720485375904,"index","Coastwide",22,"Pacific spiny dogfish"
2010,22391339.9526428,17220684.4275541,29114528.3443317,16.9241848328156,0.133963191481782,"index","Coastwide",22,"Pacific spiny dogfish"
2011,29592976.1394864,22089799.1383365,39644735.169745,17.203047598551,0.149197188509651,"index","Coastwide",22,"Pacific spiny dogfish"
2012,32642319.7747019,23007767.4193821,46311361.7610843,17.3011201570636,0.17846130288897,"index","Coastwide",22,"Pacific spiny dogfish"
2013,11977601.085951,8361949.92962669,17156635.5911652,16.2985488873574,0.183343514042996,"index","Coastwide",22,"Pacific spiny dogfish"
2014,26507187.1675563,19870254.2297453,35360945.2305869,17.0929264680547,0.14703946665818,"index","Coastwide",22,"Pacific spiny dogfish"
2015,15627807.3665231,11353365.1422933,21511539.5324826,16.5645624089052,0.163032415478148,"index","Coastwide",22,"Pacific spiny dogfish"
2016,19387460.7677668,13084224.9782081,28727237.2377972,16.780137062881,0.200625727605005,"index","Coastwide",22,"Pacific spiny dogfish"
2017,9649639.20026089,6421892.78246869,14499702.7900264,16.0824310840422,0.207762810495998,"index","Coastwide",22,"Pacific spiny dogfish"
2018,24513552.0759738,16303743.2532655,36857439.7944545,17.0147366685442,0.208081059095728,"index","Coastwide",22,"Pacific spiny dogfish"
2019,24594996.8660938,14135119.7683699,42795100.4841698,17.0180536007911,0.282597324699944,"index","Coastwide",22,"Pacific spiny dogfish"
2021,9521585.96254929,6718471.52503653,13494229.8861232,16.0690719855973,0.177911815396085,"index","Coastwide",22,"Pacific spiny dogfish"
2022,20273692.043345,13133433.7998037,31295896.8182817,16.8248346450757,0.221515759064091,"index","Coastwide",22,"Pacific spiny dogfish"
2023,10405767.81149,7819055.93077967,13848219.6195064,16.157870807638,0.145817183184458,"index","Coastwide",22,"Pacific spiny dogfish"
2024,8802134.44664657,5930862.5492467,13063457.4943375,15.990504800793,0.201444816499745,"index","Coastwide",22,"Pacific spiny dogfish"
2003,9399466.07782753,6659028.39374523,13267695.7243818,16.0561634453959,0.175860017360369,"index","California",22,"Pacific spiny dogfish"
2004,11045444.04871,7816100.97153073,15609040.1950488,16.2175285976235,0.176448245560458,"index","California",22,"Pacific spiny dogfish"
2005,19694163.9569,14811704.9076976,26186053.2854451,16.7958329039761,0.145362163754998,"index","California",22,"Pacific spiny dogfish"
2006,35472765.0261045,26244400.2412951,47946116.0105799,17.3842757776474,0.15373373180333,"index","California",22,"Pacific spiny dogfish"
2007,15541162.5071817,11061456.4985289,21835074.9837287,16.5590027075178,0.173485571248908,"index","California",22,"Pacific spiny dogfish"
2008,18602597.6938541,13901359.1462312,24893727.1038858,16.7388117898916,0.148632637418012,"index","California",22,"Pacific spiny dogfish"
2009,7955522.54337523,5689304.26666705,11124442.6333396,15.8893769050103,0.171063540974154,"index","California",22,"Pacific spiny dogfish"
2010,5910851.00769475,4331750.71333488,8065597.94117706,15.5923003735499,0.158583543347003,"index","California",22,"Pacific spiny dogfish"
2011,7015968.41477327,4839105.22938384,10172089.7694477,15.7636993111388,0.189523339422857,"index","California",22,"Pacific spiny dogfish"
2012,7261073.12686828,5211267.47604679,10117151.5751335,15.7980381894958,0.169240113807067,"index","California",22,"Pacific spiny dogfish"
2013,6153344.1492306,4103120.45561386,9228011.85791797,15.6325062560991,0.206762945832509,"index","California",22,"Pacific spiny dogfish"
2014,6864556.75288883,4681101.68243695,10066463.5400742,15.7418820288781,0.195329092512274,"index","California",22,"Pacific spiny dogfish"
2015,3039570.44895509,2067281.70856633,4469148.29066444,14.9272267637128,0.196677923044218,"index","California",22,"Pacific spiny dogfish"
2016,3337788.67829705,2116608.01926173,5263531.63154597,15.02081907332,0.232399014742828,"index","California",22,"Pacific spiny dogfish"
2017,2493473.56315535,1594824.87306675,3898490.99744661,14.7291873016083,0.228020930185894,"index","California",22,"Pacific spiny dogfish"
2018,4713655.91391486,3202846.3811378,6937126.98980321,15.3659743674329,0.197158674328151,"index","California",22,"Pacific spiny dogfish"
2019,4655650.29844362,2718869.75482843,7972091.95582299,15.3535921578501,0.274426133077272,"index","California",22,"Pacific spiny dogfish"
2021,4470624.07619763,3033112.43837299,6589429.1875968,15.3130385712065,0.197931552117074,"index","California",22,"Pacific spiny dogfish"
2022,5870644.68777799,4002119.4794411,8611554.25948178,15.5854750133338,0.19548336997159,"index","California",22,"Pacific spiny dogfish"
2023,6278221.24941998,4462349.64257953,8833028.60909024,15.652597257786,0.174192612474618,"index","California",22,"Pacific spiny dogfish"
2024,2372719.62163767,1579974.47382492,3563221.1128547,14.6795473748922,0.20746714176077,"index","California",22,"Pacific spiny dogfish"
2003,4556436.28986755,2659394.1087655,7806707.39819731,15.3320513605683,0.274720601328733,"index","Oregon",22,"Pacific spiny dogfish"
2004,2105985.48533811,1293903.91555286,3427746.69057225,14.5602940796001,0.24853496593793,"index","Oregon",22,"Pacific spiny dogfish"
2005,3593911.09380605,2460998.42419391,5248356.44883149,15.0947516086257,0.193204529547955,"index","Oregon",22,"Pacific spiny dogfish"
2006,3724808.87076114,2566357.43085663,5406184.2504416,15.1305260986166,0.190068793172822,"index","Oregon",22,"Pacific spiny dogfish"
2007,3113149.77798755,2080771.24817172,4657744.83797754,14.951145561979,0.205563158208898,"index","Oregon",22,"Pacific spiny dogfish"
2008,4789928.52319747,3241525.1282515,7077969.27359207,15.3820260471876,0.199223840160397,"index","Oregon",22,"Pacific spiny dogfish"
2009,3674366.17169142,2396917.49506975,5632637.24823259,15.1168912054663,0.217961715669892,"index","Oregon",22,"Pacific spiny dogfish"
2010,3191591.42905861,2079702.63829501,4897938.61029637,14.9760302309441,0.21852174592146,"index","Oregon",22,"Pacific spiny dogfish"
2011,3924302.0949698,2652758.88836082,5805332.32784695,15.1826990831898,0.199793639029582,"index","Oregon",22,"Pacific spiny dogfish"
2012,2899612.69209911,1894703.71932457,4437503.17183072,14.8800877315889,0.217103323995635,"index","Oregon",22,"Pacific spiny dogfish"
2013,768252.914310007,401767.260384854,1469040.90637065,13.5518742734252,0.330743846755641,"index","Oregon",22,"Pacific spiny dogfish"
2014,3791026.11802959,2249972.12858287,6387580.91489539,15.1481472839576,0.266188002057941,"index","Oregon",22,"Pacific spiny dogfish"
2015,1962354.73312677,1191038.05223839,3233176.38037503,14.4896557045623,0.254759735817342,"index","Oregon",22,"Pacific spiny dogfish"
2016,1632385.82571689,989940.705038266,2691760.69883742,14.3055531993818,0.255184726306517,"index","Oregon",22,"Pacific spiny dogfish"
2017,410074.505380757,217956.382543791,771535.561384563,12.9240941426122,0.322477303623689,"index","Oregon",22,"Pacific spiny dogfish"
2018,2330652.6647903,1490826.14430851,3643578.33717332,14.6616588999613,0.227972513756566,"index","Oregon",22,"Pacific spiny dogfish"
2019,848321.386044082,409948.751728369,1755461.31311698,13.6510148359509,0.371041206166914,"index","Oregon",22,"Pacific spiny dogfish"
2021,489110.898080401,248066.173634396,964377.638095856,13.1003445281856,0.346380706388024,"index","Oregon",22,"Pacific spiny dogfish"
2022,1350318.52203584,797349.581731664,2286776.28072888,14.1158510648334,0.268781766086433,"index","Oregon",22,"Pacific spiny dogfish"
2023,989642.127709033,542051.803727944,1806822.76896918,13.8050986695959,0.307139222789826,"index","Oregon",22,"Pacific spiny dogfish"
2024,756500.165599367,402748.014273514,1420969.14266402,13.5364580311125,0.321634308322752,"index","Oregon",22,"Pacific spiny dogfish"
2003,33881042.7893486,23030661.4905227,49843338.6711908,17.3383662061809,0.196957298628294,"index","Washington",22,"Pacific spiny dogfish"
2004,29091871.0376225,19114697.0437827,44276765.5972315,17.1859693473313,0.214290300634201,"index","Washington",22,"Pacific spiny dogfish"
2005,19395873.1504286,12951222.6245399,29047442.5599554,16.7805708771998,0.206059972311109,"index","Washington",22,"Pacific spiny dogfish"
2006,8524594.03188302,5511779.22437936,13184255.110762,15.9584659591065,0.222487721868786,"index","Washington",22,"Pacific spiny dogfish"
2007,15663273.1216057,10721023.7825448,22883833.6578878,16.5668292382838,0.193428057925692,"index","Washington",22,"Pacific spiny dogfish"
2008,15852472.2947452,10959120.137126,22930753.0815668,16.5788360268649,0.188347068096361,"index","Washington",22,"Pacific spiny dogfish"
2009,6777363.22008888,4138451.39346701,11098995.2158247,15.7290986786816,0.251671186969586,"index","Washington",22,"Pacific spiny dogfish"
2010,13288897.5158894,9091106.35824595,19425006.1795431,16.4024394713334,0.193693508657429,"index","Washington",22,"Pacific spiny dogfish"
2011,18652705.6297433,12385710.9442545,28090711.0520975,16.7415017675128,0.208905749202731,"index","Washington",22,"Pacific spiny dogfish"
2012,22481633.9557344,13940980.0965262,36254543.2114613,16.928209265212,0.243813661853241,"index","Washington",22,"Pacific spiny dogfish"
2013,5056004.02241037,2799921.0571138,9129963.36438885,15.4360870103802,0.30152861694488,"index","Washington",22,"Pacific spiny dogfish"
2014,15851604.2966378,10689498.5706833,23506561.8013475,16.5787812706189,0.201028640432385,"index","Washington",22,"Pacific spiny dogfish"
2015,10625882.1844412,7004733.04000068,16119011.4673684,16.1788032984519,0.212609351311137,"index","Washington",22,"Pacific spiny dogfish"
2016,14417286.2637529,8855995.25173496,23470895.9639829,16.4839384795831,0.248643988471361,"index","Washington",22,"Pacific spiny dogfish"
2017,6746091.13172478,3995912.21559158,11389075.4106064,15.7244738035141,0.267194375613937,"index","Washington",22,"Pacific spiny dogfish"
2018,17469243.4972686,10205996.5344018,29901486.5758768,16.6759523782115,0.274222578276815,"index","Washington",22,"Pacific spiny dogfish"
2019,19091025.1816061,9758028.68494235,37350499.189158,16.7647288968062,0.342418505193447,"index","Washington",22,"Pacific spiny dogfish"
2021,4561850.98827128,2602033.78595828,7997776.41300975,15.3332390176085,0.286451740672562,"index","Washington",22,"Pacific spiny dogfish"
2022,13052728.8335313,7024723.65571183,24253442.3205627,16.3845077758911,0.316108533438865,"index","Washington",22,"Pacific spiny dogfish"
2023,3137904.43436095,1856479.23927889,5303826.74411526,14.9590657574968,0.267797465576402,"index","Washington",22,"Pacific spiny dogfish"
2024,5672914.65940954,3293640.2247891,9770939.91345222,15.5512135929044,0.277407970153545,"index","Washington",22,"Pacific spiny dogfish"
