"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,37242256.1857585,30456134.9844029,45540435.3348174,17.4329545935476,0.102632796310352,"index","Coastwide",1,"arrowtooth flounder"
2004,37443183.6559105,30255534.8163063,46338364.5604782,17.4383352395031,0.108749725171481,"index","Coastwide",1,"arrowtooth flounder"
2005,43479596.0771122,35993978.7146956,52521986.80267,17.5878023303193,0.0963997845386667,"index","Coastwide",1,"arrowtooth flounder"
2006,32282087.953428,26497443.0441201,39329576.0990083,17.2900230818463,0.100748935186522,"index","Coastwide",1,"arrowtooth flounder"
2007,35450548.8988475,29624794.2105242,42421945.8977074,17.38364929457,0.0915971339630927,"index","Coastwide",1,"arrowtooth flounder"
2008,39761776.3941181,33412710.5759873,47317288.3840218,17.4984166166751,0.0887616692583458,"index","Coastwide",1,"arrowtooth flounder"
2009,45200649.9150552,38182011.9502288,53509457.6840689,17.6266220233508,0.0860969657424429,"index","Coastwide",1,"arrowtooth flounder"
2010,55575735.20565,46297289.2456884,66713675.7674462,17.8332572467986,0.0931972620447203,"index","Coastwide",1,"arrowtooth flounder"
2011,58172325.5386604,48849010.1548553,69275087.6189356,17.8789202934042,0.0891218519753244,"index","Coastwide",1,"arrowtooth flounder"
2012,54816651.2644503,45619673.20163,65867750.5769812,17.8195045609543,0.0937032267414771,"index","Coastwide",1,"arrowtooth flounder"
2013,77842758.7257527,59410606.4356797,101993489.876189,18.1702014361923,0.137868915147181,"index","Coastwide",1,"arrowtooth flounder"
2014,56232619.0540546,47807579.9059202,66142386.8746566,17.8450075567056,0.0828141729431095,"index","Coastwide",1,"arrowtooth flounder"
2015,43939122.2082702,37534400.4971478,51436720.3115446,17.5983156476677,0.0803827171746094,"index","Coastwide",1,"arrowtooth flounder"
2016,47034206.3477209,39577273.8001492,55896133.1680113,17.6663856895926,0.0880730836919893,"index","Coastwide",1,"arrowtooth flounder"
2017,47985701.6888082,40160347.25863,57335848.0129299,17.6864136430135,0.0908297112748626,"index","Coastwide",1,"arrowtooth flounder"
2018,34155144.9250253,28407878.6617337,41065154.4503002,17.346423789296,0.0940051492906968,"index","Coastwide",1,"arrowtooth flounder"
2019,35522564.1287081,27364301.3282021,46113092.6437245,17.385678661791,0.13312939074342,"index","Coastwide",1,"arrowtooth flounder"
2021,31358167.6897445,25772564.4809359,38154320.3271646,17.2609853234788,0.100085630730304,"index","Coastwide",1,"arrowtooth flounder"
2022,52949139.8299219,41731941.7749899,67181427.210963,17.7848423849302,0.121463967425704,"index","Coastwide",1,"arrowtooth flounder"
2023,68630826.770066,56681459.4902839,83099313.6997507,18.0442523615858,0.0976010992994183,"index","Coastwide",1,"arrowtooth flounder"
2024,62399506.5933017,52022729.1960746,74846100.6036818,17.9490679261498,0.0927959118710941,"index","Coastwide",1,"arrowtooth flounder"
2003,2079104.59255557,1485919.86390792,2909090.86807491,14.5474478746442,0.171382383488531,"index","California",1,"arrowtooth flounder"
2004,2668313.00903021,1764117.68367525,4035952.01161792,14.7969569988627,0.211124171005929,"index","California",1,"arrowtooth flounder"
2005,2359251.62747577,1611466.29533436,3454039.5029436,14.6738550197109,0.194493346708265,"index","California",1,"arrowtooth flounder"
2006,2029436.58635337,1315867.90489821,3129959.20236251,14.5232687688273,0.221055979922396,"index","California",1,"arrowtooth flounder"
2007,1778272.8466986,1235498.58303135,2559496.51479713,14.3911531403685,0.185803405424568,"index","California",1,"arrowtooth flounder"
2008,2234042.82812225,1565732.22869728,3187612.33013453,14.619323429476,0.181360107625566,"index","California",1,"arrowtooth flounder"
2009,2962489.79779545,2178970.72785311,4027748.3721359,14.9015406206375,0.156726063834085,"index","California",1,"arrowtooth flounder"
2010,4226082.27659862,3085375.12048706,5788525.12616412,15.2567859461117,0.160514247043406,"index","California",1,"arrowtooth flounder"
2011,5638798.5178054,4137920.94843496,7684063.83800787,15.5451815720225,0.157899604874518,"index","California",1,"arrowtooth flounder"
2012,5810580.71892316,4347918.72764946,7765289.64914076,15.5751910754551,0.14795335148345,"index","California",1,"arrowtooth flounder"
2013,8696249.87475872,6263511.06348856,12073860.9890985,15.9784024418182,0.167427047537073,"index","California",1,"arrowtooth flounder"
2014,8164933.437355,6210278.16941108,10734807.0759219,15.9153591321618,0.139616282558153,"index","California",1,"arrowtooth flounder"
2015,6075753.80190657,4606868.71842859,8012988.10919314,15.6198166221116,0.141205489943203,"index","California",1,"arrowtooth flounder"
2016,4940609.68059882,3651032.54615575,6685676.91671994,15.4129992986741,0.154328715297451,"index","California",1,"arrowtooth flounder"
2017,4990302.33877881,3625110.85889514,6869615.4136404,15.4230070548259,0.163070153216832,"index","California",1,"arrowtooth flounder"
2018,3844514.44922321,2771676.78040401,5332617.22823668,15.1621578718615,0.166939210890991,"index","California",1,"arrowtooth flounder"
2019,3121308.38466557,2119562.4057872,4596498.78936461,14.9537628259408,0.197474349537055,"index","California",1,"arrowtooth flounder"
2021,2308041.04662426,1638333.44263295,3251507.49797386,14.6519096909512,0.174860152556555,"index","California",1,"arrowtooth flounder"
2022,7037193.01325982,5151000.28568216,9614071.58984745,15.766719928917,0.159196009400644,"index","California",1,"arrowtooth flounder"
2023,7196117.32142652,5332712.26678525,9710650.39947339,15.7890521776198,0.152901606971525,"index","California",1,"arrowtooth flounder"
2024,5105733.31686215,3812724.13676691,6837240.71498694,15.4458746460545,0.148992614260548,"index","California",1,"arrowtooth flounder"
2003,12543456.6287141,9579582.67241414,16424338.0507078,16.3447097034079,0.137535750102796,"index","Oregon",1,"arrowtooth flounder"
2004,13354649.8959964,10614491.5961859,16802187.1069852,16.407375188982,0.117167679441642,"index","Oregon",1,"arrowtooth flounder"
2005,15323270.8296309,12351880.9853605,19009463.351898,16.5448832001174,0.109983798615674,"index","Oregon",1,"arrowtooth flounder"
2006,14449630.9374657,11584727.9390222,18023024.3928016,16.4861794315367,0.112747581897742,"index","Oregon",1,"arrowtooth flounder"
2007,14414755.7679722,11771684.5202884,17651270.1722656,16.4837629460025,0.103346469008525,"index","Oregon",1,"arrowtooth flounder"
2008,16425540.6316216,13535123.668085,19933204.2807426,16.6143480369605,0.0987515181849107,"index","Oregon",1,"arrowtooth flounder"
2009,17388717.0279791,14415993.5129566,20974446.1668475,16.6713321071844,0.0956565017634231,"index","Oregon",1,"arrowtooth flounder"
2010,17715136.3650215,14550339.3811328,21568298.0452155,16.6899299939671,0.100412619336864,"index","Oregon",1,"arrowtooth flounder"
2011,23768745.3643464,19488012.1299088,28989783.6900506,16.9838820556272,0.101314098255045,"index","Oregon",1,"arrowtooth flounder"
2012,22270955.0303301,18496713.6566295,26815327.6939124,16.918793922478,0.0947416839575505,"index","Oregon",1,"arrowtooth flounder"
2013,20374085.0426272,16055288.2251946,25854617.8369321,16.8297743101996,0.12154584184742,"index","Oregon",1,"arrowtooth flounder"
2014,25051596.4837384,20255772.3994605,30982895.8386583,17.0364481153501,0.108419210438016,"index","Oregon",1,"arrowtooth flounder"
2015,19367755.9355202,15900678.6888848,23590815.0411276,16.7791201760915,0.100638494652116,"index","Oregon",1,"arrowtooth flounder"
2016,22107636.4202751,18421607.8620297,26531212.2455105,16.911433646182,0.0930623081403695,"index","Oregon",1,"arrowtooth flounder"
2017,21351513.8106626,17577376.3191707,25936017.6245249,16.876633199606,0.0992416209811493,"index","Oregon",1,"arrowtooth flounder"
2018,15936566.0521893,12943836.7711773,19621240.7515314,16.5841267785189,0.106122598345473,"index","Oregon",1,"arrowtooth flounder"
2019,12903007.8457615,9808457.2509422,16973883.5790704,16.372971008491,0.139908413818003,"index","Oregon",1,"arrowtooth flounder"
2021,11525883.4612511,9374484.80116785,14171017.6484356,16.2601057999829,0.105411950343973,"index","Oregon",1,"arrowtooth flounder"
2022,19720359.779216,16219184.2013366,23977321.238492,16.7971621513545,0.0997247109427064,"index","Oregon",1,"arrowtooth flounder"
2023,26217142.0350331,21062109.5411193,32633888.6018619,17.0819240309323,0.11170501338868,"index","Oregon",1,"arrowtooth flounder"
2024,30162583.285204,24429293.2470814,37241414.2822393,17.2221127501285,0.1075628117099,"index","Oregon",1,"arrowtooth flounder"
2003,22619694.9644888,17226765.6583476,29700909.0640639,16.9343315433486,0.138960037185291,"index","Washington",1,"arrowtooth flounder"
2004,21420220.7508838,15654651.6632001,29309234.52581,16.879845928761,0.159986239325262,"index","Washington",1,"arrowtooth flounder"
2005,25797073.6200057,19606965.1317084,33941459.2154177,17.0657716178775,0.139990425898187,"index","Washington",1,"arrowtooth flounder"
2006,15803020.4296089,11536805.5187404,21646846.1995796,16.5757116461582,0.160543094694875,"index","Washington",1,"arrowtooth flounder"
2007,19257520.2841767,14650226.077182,25313745.0263026,16.7734122065218,0.139515768392099,"index","Washington",1,"arrowtooth flounder"
2008,21102192.9343741,16121155.1603742,27622248.0467219,16.8648875235849,0.137372203346885,"index","Washington",1,"arrowtooth flounder"
