"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,5883932.75303415,4071844.77780541,8502451.96745625,15.587735931854,0.187824479261508,"index","Coastwide",2,"aurora rockfish"
2004,6742465.22354131,4548520.99665628,9994641.62616445,15.7239361761839,0.200832003487606,"index","Coastwide",2,"aurora rockfish"
2005,6817241.94706678,4957599.62836802,9374453.61640583,15.7349655414368,0.162519979081958,"index","Coastwide",2,"aurora rockfish"
2006,7399686.48652903,5278478.47386338,10373322.6099233,15.8169481905916,0.172349975270437,"index","Coastwide",2,"aurora rockfish"
2007,7187954.8235113,5240474.41118194,9859163.59682908,15.7879172418785,0.161224724376017,"index","Coastwide",2,"aurora rockfish"
2008,5919079.86926064,4530837.56429133,7732677.67858422,15.5936915672903,0.136366890540008,"index","Coastwide",2,"aurora rockfish"
2009,6225536.03519593,4502616.18458559,8607728.78181493,15.6441701066794,0.165309642970379,"index","Coastwide",2,"aurora rockfish"
2010,4415600.6894564,3308788.75046933,5892648.61528623,15.3006544392674,0.147228060094688,"index","Coastwide",2,"aurora rockfish"
2011,4541987.25216409,3322477.84072752,6209115.36141468,15.3288751949867,0.159520173514973,"index","Coastwide",2,"aurora rockfish"
2012,7033303.38177387,5193784.62255497,9524337.2713706,15.7661670512536,0.154693581048188,"index","Coastwide",2,"aurora rockfish"
2013,5584784.38989576,3775359.56770531,8261416.19686326,15.5355563845291,0.199774180426291,"index","Coastwide",2,"aurora rockfish"
2014,4591767.19300582,3346243.15723318,6300894.75392398,15.3397755173091,0.161445154552053,"index","Coastwide",2,"aurora rockfish"
2015,5498145.01696552,4059728.57199615,7446211.75812228,15.5199213236719,0.154745011086572,"index","Coastwide",2,"aurora rockfish"
2016,5726016.90103159,4185125.56858838,7834237.94903204,15.5605307162655,0.159943474901065,"index","Coastwide",2,"aurora rockfish"
2017,6589049.61469957,4833338.46353566,8982523.18816783,15.7009196797962,0.15810071108303,"index","Coastwide",2,"aurora rockfish"
2018,6339688.67941737,4675434.17332667,8596346.57701436,15.6623402210149,0.155363892257387,"index","Coastwide",2,"aurora rockfish"
2019,5836236.958289,3569014.14507385,9543717.24200423,15.5795967906602,0.250921358126607,"index","Coastwide",2,"aurora rockfish"
2021,7110875.30126221,5169976.26038654,9780421.61190123,15.7771359026779,0.162634237424557,"index","Coastwide",2,"aurora rockfish"
2022,6243394.48619183,4394635.82449305,8869898.72811754,15.6470345806095,0.179156024820982,"index","Coastwide",2,"aurora rockfish"
2023,5102574.39128575,3663195.61663454,7107528.00106405,15.4452557529397,0.16908948930907,"index","Coastwide",2,"aurora rockfish"
2024,6263843.88618963,4524510.49282752,8671819.92234377,15.6503045939587,0.16596460222774,"index","Coastwide",2,"aurora rockfish"
2003,5355230.17426038,3662013.0531644,7831345.7114871,15.4935842439954,0.19391207098318,"index","California",2,"aurora rockfish"
2004,5797659.08454136,3806600.91186705,8830148.37614765,15.5729647879322,0.214655775037726,"index","California",2,"aurora rockfish"
2005,6206732.43583753,4448955.24700815,8659005.40491706,15.6411451376256,0.169883370116481,"index","California",2,"aurora rockfish"
2006,6691552.66012319,4679121.5019673,9569505.08431459,15.7163564918914,0.182521494116506,"index","California",2,"aurora rockfish"
2007,6610884.21308484,4737854.84202489,9224383.51026726,15.7042279718808,0.169968911801111,"index","California",2,"aurora rockfish"
2008,5387140.72459826,4071840.08236889,7127314.58003166,15.499525324321,0.142818828606215,"index","California",2,"aurora rockfish"
2009,5589001.15792775,3970506.36381264,7867241.87826832,15.5363111454316,0.174445528611122,"index","California",2,"aurora rockfish"
2010,3956752.38827988,2931566.62204832,5340451.53346015,15.1909341427917,0.153006189788771,"index","California",2,"aurora rockfish"
2011,4067795.32966568,2922594.32796524,5661736.45302672,15.21861172261,0.168691607063562,"index","California",2,"aurora rockfish"
2012,6259659.97712654,4532405.46809063,8645153.94862645,15.6496364248481,0.164734180047305,"index","California",2,"aurora rockfish"
2013,4962528.59014591,3284499.93032182,7497850.67147269,15.4174259651995,0.210565601385722,"index","California",2,"aurora rockfish"
2014,3994932.80750823,2845881.75661243,5607923.83570527,15.2005373178942,0.173040836984954,"index","California",2,"aurora rockfish"
2015,4962612.23326993,3618802.1668026,6805434.24112074,15.4174428199979,0.161119891279899,"index","California",2,"aurora rockfish"
2016,4936026.91856274,3516922.42363415,6927750.688228,15.4120712980701,0.172949323084679,"index","California",2,"aurora rockfish"
2017,5793908.36130892,4168820.12154286,8052488.02311518,15.5723176410505,0.167949020687363,"index","California",2,"aurora rockfish"
2018,5637699.13625358,4078074.39832855,7793789.0402248,15.5449865856732,0.165233195329121,"index","California",2,"aurora rockfish"
2019,5228948.91730619,3155890.6069605,8663768.86432419,15.4697208440092,0.257626951092594,"index","California",2,"aurora rockfish"
2021,6299478.80765484,4489060.45183649,8840030.93160793,15.6559774589959,0.172872296294787,"index","California",2,"aurora rockfish"
2022,5534658.44418187,3825226.78337882,8008007.32308373,15.5265404138526,0.188479024874456,"index","California",2,"aurora rockfish"
2023,4558494.92979987,3222237.04047516,6448897.38526091,15.3325030677546,0.177001547538086,"index","California",2,"aurora rockfish"
2024,5410266.31139857,3812674.27945633,7677283.55867529,15.503808875378,0.178558109557702,"index","California",2,"aurora rockfish"
2003,464399.985566695,280336.716641563,769315.376087886,13.0485014977264,0.257532680507261,"index","Oregon",2,"aurora rockfish"
2004,839963.375891342,549773.30591238,1283326.17326318,13.6411135697396,0.216255131170017,"index","Oregon",2,"aurora rockfish"
2005,524580.302951391,352584.241979134,780478.70971176,13.1703537989151,0.202712368711265,"index","Oregon",2,"aurora rockfish"
2006,606565.506334592,426329.978081168,862997.519271078,13.3155680086808,0.17990079900491,"index","Oregon",2,"aurora rockfish"
2007,497500.280043587,339198.577823301,729680.325406261,13.1173513984823,0.195417064471725,"index","Oregon",2,"aurora rockfish"
2008,456753.041832547,313211.798469911,666077.530420128,13.03189813395,0.192484772075011,"index","Oregon",2,"aurora rockfish"
2009,558536.935821075,393573.885706662,792642.804835144,13.2330760292725,0.178601207657148,"index","Oregon",2,"aurora rockfish"
2010,405375.990906992,270211.292766383,608152.576901738,12.9125702880272,0.206948083479925,"index","Oregon",2,"aurora rockfish"
2011,423986.935380633,303174.108577801,592942.854575359,12.9574579209578,0.171123239188067,"index","Oregon",2,"aurora rockfish"
2012,665354.035997148,472902.342235604,936125.609200598,13.4080745629295,0.174202375188285,"index","Oregon",2,"aurora rockfish"
2013,540341.237315597,358863.829124875,813591.75555738,13.1999561399173,0.208808862656985,"index","Oregon",2,"aurora rockfish"
2014,543105.958428779,378105.540188025,780110.447295118,13.2050597151076,0.184764146426513,"index","Oregon",2,"aurora rockfish"
2015,468883.71635436,318216.308395429,690888.347523279,13.0581100771434,0.197770690992309,"index","Oregon",2,"aurora rockfish"
2016,676355.962634604,465102.688750103,983562.123497355,13.4244747883794,0.191055190361962,"index","Oregon",2,"aurora rockfish"
2017,723924.538435767,506879.396299516,1033908.1469387,13.4924424372558,0.181847249700677,"index","Oregon",2,"aurora rockfish"
2018,609020.968623457,438499.425063244,845854.108405178,13.3196079773365,0.167602160181695,"index","Oregon",2,"aurora rockfish"
2019,538474.962690879,304653.781826832,951753.441911174,13.1964962799589,0.290599733043333,"index","Oregon",2,"aurora rockfish"
2021,687794.297842583,484224.283692904,976946.039420004,13.4412450865164,0.179055133084545,"index","Oregon",2,"aurora rockfish"
2022,626946.487569613,417121.073229099,942320.883557924,13.3486164691939,0.207904160634373,"index","Oregon",2,"aurora rockfish"
2023,460335.521231581,299673.217891761,707132.901626499,13.0397108965685,0.219015764422196,"index","Oregon",2,"aurora rockfish"
2024,756956.14604148,511216.938074166,1120820.85775265,13.5370605994885,0.200264539114057,"index","Oregon",2,"aurora rockfish"
2003,64302.593207074,28609.7335737575,144525.061112318,11.071355239227,0.413197881165701,"index","Washington",2,"aurora rockfish"
2004,104842.763108648,46024.1850477587,238831.061644,11.5602170125712,0.420056041769448,"index","Washington",2,"aurora rockfish"
2005,85929.2082778591,43203.3699587727,170908.63148652,11.361279076694,0.350825475683792,"index","Washington",2,"aurora rockfish"
2006,101568.32007123,48316.4898667235,213511.446517493,11.528486955181,0.379067561729733,"index","Washington",2,"aurora rockfish"
2007,79570.3303828646,37935.7615323128,166898.915996329,11.2843965684663,0.377939111165462,"index","Washington",2,"aurora rockfish"
2008,75186.1028298444,39092.1116082305,144605.901962834,11.2277216900652,0.333702924520529,"index","Washington",2,"aurora rockfish"
2009,77997.9414471048,35984.2578184185,169065.008945997,11.2644377136197,0.394701576529578,"index","Washington",2,"aurora rockfish"
2010,53472.3102695228,24920.3502873271,114737.069607492,10.8869192338454,0.38953736425325,"index","Washington",2,"aurora rockfish"
2011,50204.9871177788,22855.0203876606,110283.897749537,10.8238696457211,0.401509195637875,"index","Washington",2,"aurora rockfish"
2012,108289.368650197,52460.2144165594,223532.966707753,11.592562262429,0.369778183422879,"index","Washington",2,"aurora rockfish"
2013,81914.562434234,39144.777451044,171414.834256851,11.3134320615351,0.376746600080281,"index","Washington",2,"aurora rockfish"
2014,53728.4270688233,25001.1053804986,115464.649716711,10.8916975085656,0.390324616425182,"index","Washington",2,"aurora rockfish"
2015,66649.0673412349,32795.7592850834,135447.334481348,11.1071963321291,0.361813707699792,"index","Washington",2,"aurora rockfish"
2016,113634.019834228,59942.8216546729,215416.79399203,11.6407382108086,0.326328341458526,"index","Washington",2,"aurora rockfish"
2017,71216.7149548862,32955.4894777712,153899.109657786,11.1734828304504,0.393155032560994,"index","Washington",2,"aurora rockfish"
