"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,9458711.1895127,6890423.03138474,12984285.138823,16.0624466938518,0.161637487916532,"index","Coastwide",3,"big skate"
2004,14561757.0885925,11017922.3037561,19245440.6249432,16.4939092726132,0.142286016262905,"index","Coastwide",3,"big skate"
2005,10412867.1902983,8041017.82932939,13484338.1054702,16.1585528292099,0.13188334194834,"index","Coastwide",3,"big skate"
2006,9113029.04449246,6584987.90505723,12611609.8561067,16.0252157106226,0.165774808501136,"index","Coastwide",3,"big skate"
2007,8628906.55547745,6409324.47563758,11617141.3424587,15.9706283523065,0.151719071026131,"index","Coastwide",3,"big skate"
2008,5665204.52307037,3943884.33426242,8137800.08946922,15.5498535547176,0.184787521766906,"index","Coastwide",3,"big skate"
2009,9332898.41699596,7027167.13241601,12395178.7712808,16.0490561802066,0.144779173614163,"index","Coastwide",3,"big skate"
2010,10887102.5954136,8750233.75664419,13545809.8857142,16.2030893984814,0.111480836986235,"index","Coastwide",3,"big skate"
2011,7549293.94894655,5883941.96771212,9685996.1298635,15.8369646001564,0.127159021387559,"index","Coastwide",3,"big skate"
2012,9986715.40151269,7822673.65636624,12749411.3767157,16.1167663079245,0.124609103010475,"index","Coastwide",3,"big skate"
2013,11010646.0868883,8313772.36208598,14582348.658424,16.2143731888017,0.143344047477075,"index","Coastwide",3,"big skate"
2014,18254912.4351758,14979560.234985,22246435.9960079,16.719944776302,0.100893485313739,"index","Coastwide",3,"big skate"
2015,16295118.3552234,13187708.0360905,20134725.5705137,16.6063761335121,0.107951161784756,"index","Coastwide",3,"big skate"
2016,15935258.8567708,12415523.14826,20452821.1819961,16.5840447502433,0.127342460256124,"index","Coastwide",3,"big skate"
2017,12829828.9194177,10241662.0325337,16072050.5693941,16.367283402085,0.114955647957007,"index","Coastwide",3,"big skate"
2018,14103429.6096155,11234119.9801122,17705590.3894122,16.4619285604961,0.116054391909504,"index","Coastwide",3,"big skate"
2019,12203376.9587064,8669329.86903289,17178076.211893,16.3172232712954,0.174452806938696,"index","Coastwide",3,"big skate"
2021,8635590.32507471,6577585.98227569,11337505.9578808,15.9714026314502,0.138892484558178,"index","Coastwide",3,"big skate"
2022,14609429.7876912,11498151.2621044,18562587.4852525,16.4971777540598,0.12218639493151,"index","Coastwide",3,"big skate"
2023,8688184.40204819,6716746.11036102,11238261.3491306,15.9774745458441,0.131308617102087,"index","Coastwide",3,"big skate"
2024,5565525.508157,4136807.51296474,7487675.96386114,15.5321019691691,0.151363522655084,"index","Coastwide",3,"big skate"
2003,3468897.9000135,2335081.58770811,5153247.19447113,15.0593474934096,0.201937437041834,"index","California",3,"big skate"
2004,6408845.22147904,4570279.79703285,8987042.12804225,15.673189660012,0.172505554667876,"index","California",3,"big skate"
2005,3634880.88657834,2550023.20010277,5181270.13867169,15.1060868999337,0.180857346133412,"index","California",3,"big skate"
2006,4037225.91095817,2694823.62878916,6048333.88054994,15.2110683583779,0.206241056083536,"index","California",3,"big skate"
2007,3604207.69520815,2437090.13247495,5330255.51131569,15.0976125251309,0.199645101278257,"index","California",3,"big skate"
2008,2578452.74920938,1658722.46313005,4008156.11272285,14.7627000673913,0.225076484750139,"index","California",3,"big skate"
2009,3343961.20578479,2325681.06943969,4808086.8407669,15.0226666519785,0.185280529460509,"index","California",3,"big skate"
2010,3911841.43896563,2910281.36109322,5258083.85683386,15.1795187773537,0.150899943851996,"index","California",3,"big skate"
2011,3836144.26662673,2879886.07331463,5109925.34417711,15.159978322888,0.146286886747265,"index","California",3,"big skate"
2012,4960952.07048274,3742208.61065042,6576609.6993052,15.4171082299752,0.143840243749337,"index","California",3,"big skate"
2013,5142386.52085225,3671807.51095089,7201940.47508623,15.4530278333435,0.171856844011883,"index","California",3,"big skate"
2014,8844595.43497974,6972444.46086836,11219432.2733582,15.9953171451269,0.121349531932924,"index","California",3,"big skate"
2015,5047616.84756524,3727706.74069666,6834882.0366333,15.4344267784931,0.154657428997101,"index","California",3,"big skate"
2016,4174303.82743487,2801629.27201896,6219528.26441611,15.2444581544433,0.203445812681981,"index","California",3,"big skate"
2017,4111188.86765913,2942360.38342444,5744324.86271217,15.2292228068483,0.170666471822917,"index","California",3,"big skate"
2018,6183236.11790808,4663830.35467008,8197641.41967971,15.6373523360548,0.14388259441692,"index","California",3,"big skate"
2019,3463066.51859101,2066736.38936362,5802786.35142185,15.0576650315717,0.263363887334837,"index","California",3,"big skate"
2021,2481307.09349865,1655565.0340176,3718902.46878773,14.7242960331272,0.206454362177234,"index","California",3,"big skate"
2022,3416090.55899044,2296786.33895613,5080870.82777031,15.0440073437823,0.202547540159897,"index","California",3,"big skate"
2023,2319493.15339507,1551017.65340348,3468721.63372281,14.6568592514106,0.205328991012952,"index","California",3,"big skate"
2024,1754984.97198176,1165750.67695989,2642050.57972941,14.3779708518721,0.208725802984633,"index","California",3,"big skate"
2003,3833658.22200209,2607021.10353785,5637443.95593109,15.1593300546398,0.196744057466006,"index","Oregon",3,"big skate"
2004,4967270.6930403,3522821.62629935,7003981.681541,15.4183810909013,0.175313561251781,"index","Oregon",3,"big skate"
2005,4255771.85372262,3181985.68787254,5691915.62990563,15.2637867027685,0.148355130518985,"index","Oregon",3,"big skate"
2006,3429209.48928893,2382083.79795057,4936634.7781495,15.0478403229849,0.185898372582382,"index","Oregon",3,"big skate"
2007,3271891.1427645,2319812.84353753,4614713.50153234,15.0008787068251,0.175453038952835,"index","Oregon",3,"big skate"
2008,2139267.07030563,1406375.82328008,3254082.9572997,14.5759738378234,0.214007617419067,"index","Oregon",3,"big skate"
2009,3171769.92220889,2198814.10613949,4575250.09110105,14.9698003251241,0.18692771789943,"index","Oregon",3,"big skate"
2010,4110879.49543971,3101556.10014037,5448661.79440115,15.2291475527381,0.14374398900258,"index","Oregon",3,"big skate"
2011,2498097.71832966,1795116.86711628,3476370.99547104,14.7310400875293,0.168604834232783,"index","Oregon",3,"big skate"
2012,3313770.31034297,2408405.6758976,4559478.40499005,15.013597165678,0.162820147164283,"index","Oregon",3,"big skate"
2013,3566637.74162309,2516580.77932446,5054836.65951904,15.0871339009058,0.17792275730703,"index","Oregon",3,"big skate"
2014,5447189.76700807,4135801.42151888,7174395.80232564,15.5106103945708,0.140522333538156,"index","Oregon",3,"big skate"
2015,6300476.87148066,4834057.23357251,8211737.4474539,15.6561358823829,0.135175546337358,"index","Oregon",3,"big skate"
2016,5608458.25648132,4130936.03148676,7614449.55209647,15.5397864191372,0.156008906431358,"index","Oregon",3,"big skate"
2017,4707452.53295711,3595571.32685422,6163167.77935602,15.3646574561821,0.137473953178331,"index","Oregon",3,"big skate"
