"year","mean_depth","ci_lower","ci_upper"
2003,603.774944635571,597.884313865066,609.155499270327
2004,675.411010583143,668.980692382541,682.169571163582
2005,662.023028887097,655.088345119729,669.93398735904
2006,622.06065540566,616.474399595059,627.848804903727
2007,667.435163723186,662.040572975812,673.222235965982
2008,639.873511356982,634.17723127991,646.00824422472
2009,683.881695795354,678.17416155922,689.31436265211
2010,628.781588616763,623.980470530995,633.893623056249
2011,618.058216158562,612.90750305452,622.861229673146
2012,641.983317555123,637.089742601948,647.210611298436
2013,690.750571610839,684.871038704226,696.674283644085
2014,681.993559423734,676.451698365971,687.505883848017
2015,619.178002907814,614.1646052311,624.196472915567
2016,609.149623425181,603.338565771029,614.830965191283
2017,783.091682150342,776.68931046202,790.064543461677
2018,642.987658947787,637.386854532846,648.136289356321
2019,640.914803961377,635.9428937637,647.426565876854
2021,618.598278502041,613.413280120267,623.627925873293
2022,640.718390713594,635.587975330758,645.65766577457
2023,669.285577380951,662.673676186383,675.67030388877
2024,686.145919666617,679.43766425868,693.023950356466
