"year","mean_depth","ci_lower","ci_upper"
2003,112.856525824107,111.43863473394,114.270825916097
2004,106.196991877594,104.83136495347,107.545823111269
2005,117.174005616039,115.666996376191,118.618095185448
2006,108.746028901624,107.850070197334,109.682643058347
2007,105.903235743993,105.040693360542,106.698947304648
2008,105.399785142841,104.6097400937,106.382222344617
2009,102.5584163477,101.631155598974,103.446329829358
2010,106.125210114903,105.409627788881,106.877013122302
2011,125.140316806434,123.507356547759,126.261642918399
2012,115.482291299463,114.13891672996,116.87165445077
2013,115.097590540648,113.483475467371,116.446145408241
2014,123.565009780045,121.844154377744,124.91403032574
2015,118.071592996314,116.580749226568,119.849628193744
2016,119.181945161915,117.197083634877,121.148830627658
2017,113.790412674967,112.900390030275,114.79058341752
2018,112.648667710774,111.209617065632,113.973712938421
2019,107.907052130409,106.826528479755,108.942809671055
2021,114.437372134775,113.358829342828,115.504459124296
2022,100.655971209791,99.7673886508074,101.532268663637
2023,118.534468329498,117.380459053164,119.802401468901
2024,115.401377813845,114.267432191767,116.812599239755
