"year","mean_depth","ci_lower","ci_upper"
2003,159.019905453315,157.63897862983,160.428803284386
2004,146.551558426537,145.30595417609,148.046485886857
2005,156.020576214017,154.428587992348,157.667679070612
2006,153.30802924427,151.448050173615,155.298894605291
2007,165.403397380765,163.312756607658,167.413139609837
2008,148.990834412868,147.325238518845,150.457652856905
2009,152.753494257249,150.90178831181,154.58832320234
2010,183.700039958362,181.767952667476,185.819205837789
2011,118.939959368015,118.513248779581,119.357920702726
2012,145.110649557105,144.553202586434,145.657769186667
2013,136.78090205721,135.480210981102,137.957638249186
2014,147.19642982779,145.84541816196,148.413896611795
2015,157.785974460868,156.277573690166,159.217688138305
2016,150.635851839005,149.523250604088,151.886787357332
2017,149.235760313823,148.035461074723,150.551358673786
2018,126.544871900859,125.181576171993,128.141186428442
2019,158.502606392327,157.239573187106,159.913069356153
2021,150.155358038848,149.068449977167,151.428333717778
2022,157.849292611715,156.423522657091,159.183703938692
2023,131.317390096523,130.579867897927,132.103517997979
2024,151.241247810817,149.801319749748,152.782126037832
