"year","mean_depth","ci_lower","ci_upper"
2003,283.118887617874,281.072253060174,285.031127000573
2004,293.342723896391,291.365781869738,295.089685097741
2005,323.439533172486,321.319513907696,325.169521064285
2006,287.344969091477,285.343127019183,289.119225413586
2007,285.620069859688,283.83464706355,287.623804122115
2008,277.659228089479,275.653540030486,279.671621817951
2009,257.233007136645,255.398228456835,259.089458430629
2010,284.584553296062,282.528299250585,286.884178996153
2011,297.125426911178,294.884339212408,299.355492449745
2012,290.010981486441,287.930772263492,292.02653064565
2013,279.34805656498,277.600387243134,281.112429990855
2014,310.416134368334,308.251844666659,312.541726997749
2015,260.968363816087,259.390668802569,262.791036444327
2016,303.193505378277,300.935151404079,305.558299254137
2017,286.305997690823,284.166091720797,288.511676077906
2018,285.087926200667,283.258174179382,287.409949277945
2019,291.622567457652,289.473378494501,293.800929552224
2021,288.053056270208,285.629878285747,290.565313817945
2022,282.401816177039,280.543881930665,284.602278201339
2023,296.370351929309,294.396040442448,298.396825715009
2024,331.376687921948,329.095114079842,333.72513095802
