"year","mean_depth","ci_lower","ci_upper"
2003,173.358028415523,172.043635054655,174.693762134304
2004,166.546441257151,165.482597348624,167.774957828222
2005,174.431772927231,172.785111910327,175.851636878316
2006,192.49147787706,190.693629872731,194.739266294746
2007,174.614966906655,173.234427964825,176.25975099878
2008,179.445561397255,177.887029723635,181.09358720515
2009,181.071447623928,179.452054337906,182.385912606597
2010,175.771508132403,174.383870992767,177.429604910964
2011,178.271494824536,176.914713235265,179.5841475952
2012,181.014458921686,179.50201996787,182.625684909089
2013,169.848803684584,168.330757539729,171.380352858854
2014,181.027452433247,179.466458710593,182.442194331592
2015,175.23610073203,173.870162956317,176.409500560767
2016,169.356339624933,168.189832066389,170.516134060681
2017,164.288091600199,163.233474012746,165.348694371723
2018,164.951624925743,163.905512141143,165.911673049795
2019,161.864917294357,160.905272357054,162.924303024915
2021,161.617809235764,160.442739025361,162.756032719931
2022,173.621085340722,172.295077355902,174.979581105467
2023,177.809910921839,176.443787121598,179.340678137505
2024,167.892229856202,166.582347398304,169.166705215037
