"year","mean_depth","ci_lower","ci_upper"
2003,230.526695084198,227.837328468678,233.863885151372
2004,216.294733549482,214.136780290771,218.646439263268
2005,211.342590651076,209.516283630467,213.380700516714
2006,238.047087970426,235.986603852571,239.918228716845
2007,219.56946514041,217.695324871843,221.538231566758
2008,206.11116708471,204.620466473156,207.528573145244
2009,242.623239907671,239.423610834317,245.930240580159
2010,211.125513980738,208.770502682344,213.123137600851
2011,253.727938731017,250.493180659699,257.214920115954
2012,257.49594645019,254.509075861686,260.587349552425
2013,238.245666758285,235.679194133354,240.763622902997
2014,233.576078588245,231.796483304243,235.291995225668
2015,236.302059736885,233.818755561637,238.604473476214
2016,252.423358455607,249.841267268862,255.536533265176
2017,227.358093751401,225.556090118833,228.710716995505
2018,227.224647844372,225.509140951835,228.91439927685
2019,211.427927644304,209.832250888277,213.149849815496
2021,208.762753644594,207.35091600524,210.11885283807
2022,225.8743306639,223.931023338601,227.742060030944
2023,206.971218802567,205.350222878602,208.831625669233
2024,217.529731649717,215.720623300797,219.406790839527
