"year","mean_depth","ci_lower","ci_upper"
2003,96.2986663354513,95.4241074548187,97.0949705489444
2004,101.685463395397,100.566568681148,102.878012813255
2005,95.3172667573488,94.7102078913822,95.9765523757797
2006,94.5428835456871,93.8256754462414,95.3820823940677
2007,94.5243531040869,93.6973500889382,95.3114516914076
2008,88.5760663883123,87.8062712420811,89.3497777816457
2009,93.6521439789298,92.9966068546053,94.2852984909443
2010,103.163844639339,102.040459644783,104.409614833456
2011,97.551376894444,96.6328488302407,98.3382291888901
2012,98.6935756425984,97.9549062467569,99.5098617629947
2013,100.406311868435,99.3899619068916,101.326099931711
2014,105.318778317568,104.561681701619,106.160045784061
2015,107.435923306953,106.713220227703,108.310499150007
2016,109.050562564949,108.146040911697,109.975284038989
2017,102.649602512395,101.997318578366,103.251812238635
2018,103.167600239531,102.287656961637,104.288926005233
2019,101.880323582326,101.134762074505,102.707561001648
2021,98.1358261072821,97.4048185039236,98.8286268179168
2022,106.961082119499,106.231097725695,107.819720523324
2023,100.839369364077,100.099074137846,101.716621394396
2024,97.7656428509637,97.079848996064,98.4137804940964
