"year","mean_depth","ci_lower","ci_upper"
2003,489.05773966028,485.081724895662,492.940752810489
2004,487.157697999621,483.227769072227,491.139358235125
2005,490.078589449085,486.679763602851,493.664433671166
2006,488.856404915387,485.492087087254,492.935845818069
2007,489.608156887192,485.781446636862,493.479804569782
2008,488.273907279868,484.308137436326,491.644614527211
2009,487.570212790557,483.606018028449,491.047200139977
2010,489.158724946198,485.388325882732,492.783409482467
2011,487.108537959959,483.153313651991,490.696613512309
2012,488.978073707123,485.146958397506,492.916241941074
2013,488.16902786621,484.862158788585,491.816922749501
2014,490.11813693745,486.706375574248,493.466853697183
2015,488.511765143582,485.188974752896,491.709051001909
2016,489.005137807171,485.191751666999,492.194889058012
2017,486.64155747898,482.424968119288,491.013333890388
2018,486.950818467011,483.30804069626,490.801368024714
2019,488.047468772093,484.442748387106,491.767055672884
2021,487.416260394059,484.049157265351,491.213273501347
2022,487.888083290345,484.197705909643,491.980653729733
2023,488.136635141679,484.49427711708,491.215941807021
2024,489.879207769271,486.466011982609,493.714572323522
