"year","mean_depth","ci_lower","ci_upper"
2003,212.964688312586,210.927085568083,215.045691099044
2004,200.378476323621,198.27485705329,202.603948934214
2005,197.629245472266,195.022285946739,200.376307283099
2006,198.402955135337,196.778516518757,200.161962222717
2007,200.847544209965,198.316860726421,203.348231100615
2008,192.78014654304,190.809434227592,194.766306702194
2009,202.001259037273,200.01162289338,203.58235686103
2010,206.594207773761,204.744517232187,208.523628661786
2011,204.938699104473,202.418964392343,207.120842893758
2012,304.006758648241,302.671456942844,305.54229497779
2013,194.53242853878,191.692620248322,197.163960093983
2014,267.118380319749,265.272157230778,269.166558295485
2015,210.074724950867,208.140765599333,211.954733107213
2016,203.643085248391,202.243630901817,204.998848854763
2017,213.944399366368,212.074120443358,215.723165801598
2018,233.372108062442,231.800026891963,235.015077886406
2019,216.265882029994,214.307359540932,218.112995389245
2021,218.319236984487,216.343934324087,219.915257563942
2022,209.571088790641,207.672302322072,211.35005777324
2023,212.331224258172,210.569163066074,214.321844759762
2024,184.963899205001,182.899151815401,186.955743936208
