"year","mean_depth","ci_lower","ci_upper"
2003,154.02045331153,153.090604314948,154.888473099513
2004,154.112498941225,153.330684357857,154.9670681759
2005,154.088742059917,153.12793881692,154.914516307127
2006,154.673226220227,153.80844038754,155.659825571952
2007,154.392287785648,153.554533126962,155.240534386845
2008,154.473187541288,153.596977974619,155.398177896376
2009,154.604226134179,153.761752771845,155.422946860347
2010,154.31440542909,153.420719014306,155.175135038846
2011,154.313284542154,153.445560189062,155.195777260831
2012,154.039019138358,153.152269482671,155.021901751334
2013,154.167835376551,153.282517645362,155.192854265572
2014,153.574216510666,152.684177769192,154.389544061879
2015,153.622721749899,152.642178506409,154.395550627021
2016,153.381475969309,152.544451707703,154.164316927262
2017,153.459821474692,152.518453486589,154.296498938828
2018,153.802061621432,152.965607250063,154.734449517212
2019,153.554121620803,152.7544308482,154.28840011412
2021,154.039366444906,153.12002862761,154.838446908903
2022,153.972314723067,153.116745716996,154.684839707624
2023,153.906202287613,152.957109904539,154.793471501584
2024,153.971018191409,152.97875974196,154.841365393222
