"year","mean_depth","ci_lower","ci_upper"
2003,259.782388422186,256.393453255486,262.283717577836
2004,260.839793552704,258.086467442083,263.888077360789
2005,253.14616157795,250.457154280455,255.864513991492
2006,249.411608352005,246.205223907791,252.928845473327
2007,242.070004721856,238.989137332675,244.87977702794
2008,245.689759412997,242.015075015185,248.282424388518
2009,246.836257537928,243.8084721215,249.501702473452
2010,252.476479663148,249.917725842666,255.085489954627
2011,253.708018302785,251.162633647714,257.146644598625
2012,252.74879770467,249.740658480958,255.527345111269
2013,272.730958313517,269.449640489071,275.526952792437
2014,262.684621292179,259.829728569259,266.050919954634
2015,258.697037910097,255.286734154303,261.665317246326
2016,261.572958351728,258.057574515138,264.449744956397
2017,254.664011460804,251.718950358955,257.835916437923
2018,253.295356573442,250.303184465243,256.327279572162
2019,254.054808943502,251.319424033872,257.042308997776
2021,254.405885629648,251.58046793801,257.151918629416
2022,247.927905518871,245.216654718932,250.34609745465
2023,252.325537857613,249.703132760534,255.76247214526
2024,256.657920180397,253.665205929502,259.896365492051
