"year","mean_depth","ci_lower","ci_upper"
2003,70.0020521179512,69.5453922438135,70.577704601438
2004,66.8724752334576,66.4747825933997,67.2877536079189
2005,88.023827205312,86.4768870573271,89.2406643032982
2006,76.5029769367052,75.9474438068228,77.1262225008332
2007,77.2376087245392,76.5114899979641,77.9133828998407
2008,75.3838120473197,74.7022850195999,76.0438055965274
2009,80.4948307588549,79.8128002419063,81.1768796097724
2010,82.6430841521835,81.9207270636589,83.3812065859538
2011,86.275144462734,85.2091578537466,87.1320459775543
2012,86.9719803932156,85.679948066885,88.0723265510125
2013,76.8606899758013,76.1859889177914,77.5108634373203
2014,73.8821965089356,73.4856304773373,74.287538949733
2015,75.4476096660187,74.8586297744843,76.0942192255411
2016,83.2861368670593,82.4071958211412,84.132937203824
2017,74.4035406131589,73.9543430584329,74.8907810556397
2018,76.0331095426324,75.352777311286,76.6710477729676
2019,72.0019605850529,71.4635724681866,72.6424216727717
2021,70.5726807963425,70.0109817602258,71.1447970513862
2022,85.6309146674234,84.5325786055263,86.8760399171151
2023,73.7383564003426,73.1215413566892,74.4460721890222
2024,79.7563473368794,78.9505013681631,80.58002936679
