"year","mean_depth","ci_lower","ci_upper"
2003,333.048775577145,331.149566869048,334.899629615477
2004,335.080827061188,332.962982984135,337.090109594526
2005,330.630330271351,328.969545203565,332.157450333023
2006,338.915765848045,337.074206205676,340.835492125987
2007,333.564482987462,331.653535043981,335.261348339671
2008,331.14834675914,329.165535095406,333.049211498222
2009,333.696695206588,332.020274169224,335.488838763017
2010,329.269333827746,327.256813930778,331.177744869947
2011,326.19688644685,324.515126330526,328.085887432476
2012,328.832072848588,326.82266674314,330.731987333044
2013,338.245563242812,336.364006403137,340.16006463542
2014,331.469357742837,329.796669593285,333.469807587507
2015,332.262095824202,330.398837206896,334.125197952542
2016,329.724594784103,328.116141961578,331.851484048894
2017,330.749723776558,329.029750261101,332.502690820407
2018,334.024121405609,331.818867106101,336.083271437541
2019,330.638286568811,329.083685069459,332.453287204178
2021,335.566764523314,333.536220177993,337.679655648895
2022,339.870575214935,338.040813577904,342.31431208737
2023,333.416561844394,331.967215952829,335.236293380511
2024,328.619838121627,326.948904575204,330.305612382025
