"year","mean_depth","ci_lower","ci_upper"
2003,160.698771943764,158.713885095696,162.459956947905
2004,144.483009346337,143.802265478761,145.188459164273
2005,154.920593447874,153.995422574882,155.909030230724
2006,152.253914871722,151.391089628766,152.993001935502
2007,153.057099247381,152.152492078559,153.878027849983
2008,159.990711202157,159.170747214864,160.796869093392
2009,148.679004350478,147.964053119233,149.445008275719
2010,150.002161014109,149.261552241799,150.681655839814
2011,155.05742530475,154.138816911326,155.929194847762
2012,150.491664295025,149.575498721805,151.283624122115
2013,150.008023907059,149.430019460639,150.661905556361
2014,153.399193243688,152.659868683222,154.226478576405
2015,150.137703219592,149.212708454182,150.943583189835
2016,148.914821517469,148.048428346167,149.670102239201
2017,149.227373994009,148.202677083004,150.035800934238
2018,150.304782465539,149.441311180296,151.176110085486
2019,153.114030055899,152.307437792753,153.911721832688
2021,148.703539375219,147.789460740873,149.753091716607
2022,155.433997343622,154.750013097516,156.157796983208
2023,151.853850800967,151.083455579136,152.571408983982
2024,156.933281761904,156.053894664029,157.720521484839
