"year","mean_depth","ci_lower","ci_upper"
2003,161.659619599038,160.147740622331,163.189092020911
2004,161.807255386507,160.384963202313,163.201303874325
2005,162.152671000654,160.766340509079,163.650273169568
2006,161.428019430655,159.98994335569,162.912209464104
2007,161.901354252234,160.002427517764,163.530036523184
2008,161.492443570069,159.974888394947,162.855366628046
2009,161.475067852641,159.891273244464,162.923113204886
2010,162.040376060908,160.542280739646,163.735150691501
2011,162.032273802541,160.560090231187,163.584422756957
2012,161.909811218076,160.467473357293,163.384833319775
2013,161.857138945243,160.270712013599,163.346311401098
2014,161.848336476253,160.451468688484,163.313853758871
2015,162.528034217215,161.117014925111,164.117239010352
2016,161.959527722474,160.548282686204,163.603185068543
2017,162.322251573739,161.016111589829,163.842010738197
2018,161.878071388945,160.306120860289,163.248538279457
2019,162.39691336782,160.705228050564,163.816620703166
2021,161.677806998934,160.05303630867,163.156181543707
2022,161.705008535838,159.936129623591,163.182086406323
2023,162.20204151043,160.912250380191,163.482718822684
2024,161.933861754741,160.473360032199,163.560243338494
