"year","mean_depth","ci_lower","ci_upper"
2003,238.047952771322,235.841035963711,240.376068726106
2004,223.585094395884,220.98283268943,225.945672672374
2005,228.490914086522,226.391263571397,230.431712721051
2006,225.89264801833,223.510008018523,228.496899111622
2007,209.467997476645,207.445839390416,211.273371923341
2008,163.938138989159,162.515210582627,165.114474331285
2009,208.166342996063,206.032986957339,210.15170163788
2010,198.989467835254,197.318336757731,200.691753009244
2011,264.588452478683,261.837510675582,267.290404213279
2012,230.923184615734,228.723602781248,232.983563178154
2013,236.798304401262,234.166029124257,239.821751003526
2014,234.21234341983,232.276349064676,236.632217966569
2015,238.997657200759,236.767778403669,241.559478103991
2016,288.343958622778,284.422284802129,291.965640062315
2017,231.280712104468,228.887811454701,233.905306380649
2018,242.257431408181,240.170211142263,244.850436309444
2019,234.451074334171,232.345322489496,236.954315806974
2021,259.942120664342,257.336474595284,263.204032948752
2022,233.767934270931,231.057237432007,236.195221226193
2023,214.746334198539,212.637569533272,216.759465824902
2024,234.209810731264,232.016941410709,236.599258208432
