"year","mean_depth","ci_lower","ci_upper"
2003,207.829939777818,205.453650370672,210.472046896108
2004,185.107207321307,183.37864662886,187.129876206254
2005,203.550252010198,201.298884133524,205.646045332547
2006,260.300189679193,256.862780748109,263.463283775777
2007,173.049694562484,171.389968508344,174.899395118312
2008,193.404528128774,191.519407349458,195.585383464998
2009,195.72761535861,193.645499361453,197.674410203505
2010,186.333414488826,184.85220787178,187.94308532812
2011,208.847127318196,206.518202465657,211.083702502501
2012,186.390487565701,184.59205309446,188.708298083877
2013,203.797388843582,201.852562788489,205.602367274551
2014,175.372073275975,172.451595608777,177.884061578196
2015,192.334163503308,190.502921232319,194.265770650628
2016,201.916998743829,200.029678373744,203.762927782416
2017,190.569475708951,188.799597826708,192.506325191183
2018,169.256248593118,167.562235634913,170.987190492819
2019,186.764116125944,185.372805845988,188.423074058325
2021,179.478897646804,177.888977359915,181.375402224394
2022,184.607863941091,182.173950915355,186.93432046124
2023,187.992506482364,186.416902749896,189.763038295217
2024,197.172902278917,195.511220288786,198.958523583817
