"year","mean_depth","ci_lower","ci_upper"
2003,290.046760055319,287.959271234848,292.313587657166
2004,299.251447118777,297.147122172518,301.042732453998
2005,299.522192694124,297.397858141758,301.910664170202
2006,306.357934962629,304.247235888251,308.714207306426
2007,296.408006584012,294.070299791391,298.647073088097
2008,306.42098102477,304.27543763563,308.227603784199
2009,295.650777905569,293.865478388614,297.798168999825
2010,306.866954901865,304.589574674095,308.898977732804
2011,306.056836380158,303.742791697085,308.401548882842
2012,311.189614939805,308.978964081748,313.88309320538
2013,313.574681429858,310.961845508047,315.809655014851
2014,313.105627590055,310.983448131373,315.10002123463
2015,305.700837130178,303.747460266127,307.764351561929
2016,307.817779293604,305.515050507613,310.319020092104
2017,309.390293926987,307.114247926834,312.052778707737
2018,307.39106026752,305.095563730531,309.668227131397
2019,307.85651229851,305.831940007896,310.032985769144
2021,299.824911032506,297.651372725584,301.910153790845
2022,305.242577012218,302.998899520489,307.471870519288
2023,304.655756446368,302.459525235846,307.10907220151
2024,294.039316220385,291.717737227746,296.075406612873
