"year","mean_depth","ci_lower","ci_upper"
2003,121.050005865209,120.123718596679,122.009032488115
2004,120.799748538852,119.777587428629,121.828777793754
2005,119.604316525526,118.541152715594,120.641291490562
2006,118.489451661595,117.593137036123,119.328259079939
2007,115.391341469387,114.528429674467,116.442952303632
2008,115.122331037865,114.315889012595,115.835184732578
2009,122.713272706399,121.902519815598,123.763795859997
2010,124.419430473034,123.383726703841,125.316486460513
2011,128.530608142454,127.59705786569,129.732238446278
2012,124.208716842425,123.240467970442,125.14902933274
2013,125.310481181927,124.139712417856,126.556274629638
2014,129.49606862967,128.63381499926,130.418072893345
2015,127.099973444972,126.211714318843,128.077837379155
2016,125.302796767006,124.420647139089,126.424441191216
2017,126.283247311414,125.412434518502,127.176598597389
2018,125.009460043907,124.117999733621,126.045164975664
2019,122.524541652947,121.581956352107,123.404323603653
2021,125.694088629884,124.897352723215,126.59554640612
2022,124.083424367983,123.139945829342,124.995997200409
2023,126.305365171128,125.52982913311,127.29104676726
2024,126.2060637363,125.368752792501,127.166418707245
