"year","mean_depth","ci_lower","ci_upper"
2003,281.795397877639,279.248640399416,284.480516575387
2004,278.398000827568,275.369495012943,281.404825481727
2005,283.653736245497,280.734460652812,286.360842564024
2006,296.72999356107,294.444017146853,298.766902205535
2007,264.490193132015,262.084867660794,266.368951243636
2008,309.219542733894,307.149315876047,310.881922043742
2009,294.085514242226,292.094972736973,296.260179013972
2010,302.450852965723,300.294433406478,305.07059130993
2011,297.99877244683,295.74080574933,300.167051278853
2012,292.399301166701,290.11755853724,294.60111860461
2013,296.84505596374,294.597980094958,298.820661105193
2014,234.738376994156,233.057161049987,236.619970819726
2015,316.024611827179,313.670710423171,318.611169482115
2016,289.525199343584,287.285346973376,291.626240247303
2017,291.010780603741,289.123124747298,293.024911086531
2018,290.785162876395,288.540355755466,292.810283543207
2019,308.927264073391,306.673199784025,311.338919227202
2021,286.292694460311,284.056310337112,288.67595661947
2022,265.204065934779,262.880250990945,267.313989386578
2023,269.492253493996,266.930352556532,272.094270353397
2024,284.622048722665,282.457168619119,286.862142696326
