"year","mean_depth","ci_lower","ci_upper"
2003,295.148002302104,292.30818735246,297.684868235512
2004,317.975485847412,315.216743308481,320.164122688715
2005,311.394886688291,308.670165916822,313.705161942565
2006,297.068953843415,293.741801680819,299.961388152258
2007,301.121315494851,298.664089378366,303.447318077938
2008,297.109321070625,294.298795469142,299.561565822036
2009,275.375564745483,272.935734267264,277.802269719408
2010,240.888837430186,238.602264614534,243.205276296533
2011,240.812714580952,238.537567812743,243.125824715625
2012,261.466497854737,258.946212123113,263.925558641178
2013,271.702266718049,269.202600580359,274.516817215306
2014,243.532491109242,241.138411456732,245.905899731378
2015,251.763258682773,249.160471512576,254.686440616779
2016,242.365613191407,240.386318285396,244.473983034826
2017,246.200931481757,244.003312500793,248.498398257342
2018,247.362476832016,245.007649020724,249.853207967655
2019,246.508415122993,243.854806735005,249.032261918468
2021,230.239695834299,227.807435096904,233.112124383393
2022,253.729171321023,251.080672991043,256.778951160674
2023,231.022700593627,228.803686402894,234.067659433332
2024,225.834110198717,222.938654370376,228.19770787121
