"year","mean_depth","ci_lower","ci_upper"
2003,253.939179624699,251.807113031436,256.46618663383
2004,248.717873952794,246.452215903321,251.010450906991
2005,246.349641387999,244.132499066932,248.466641041653
2006,249.991402341875,247.940388332217,251.958241024346
2007,245.940102086799,244.107435508815,248.189847999182
2008,245.306021191736,243.204510091617,247.389221397408
2009,249.220788629359,246.841039841961,251.332598196135
2010,247.21460355331,244.881359257853,249.380634556964
2011,249.328718613605,247.090686198543,251.7136126524
2012,244.910550308071,242.513745762081,247.205461774451
2013,248.913757154904,246.34154864405,251.291963190123
2014,247.478769338224,245.194336001895,249.617036232112
2015,242.086893204197,240.189464829636,244.222286353184
2016,250.957626866457,248.3928634203,253.010581668037
2017,245.355138725157,242.793105170567,247.614768654195
2018,245.857522758587,243.739798074743,247.902627926556
2019,241.111071816157,239.091602876957,243.200906350445
2021,247.96128400448,245.746738278691,249.939520506795
2022,243.720442671604,241.292367713853,246.1232221403
2023,243.64838002353,241.512737499365,245.817607248873
2024,245.336412133111,243.468663817587,247.415968216622
