"year","mean_depth","ci_lower","ci_upper"
2003,440.59005773364,436.435426449223,444.546915160596
2004,439.001618868685,433.810465155882,443.314610311515
2005,435.676621634354,431.012506446613,440.303455847636
2006,441.447909065452,436.894305937192,446.090876716367
2007,438.691888220196,434.20275482242,443.362609888106
2008,439.510375172561,435.833548879644,443.522918345575
2009,430.906291991999,426.746904339305,435.430584586713
2010,434.083209648041,429.867171219424,438.373448931073
2011,429.613003796541,425.64005412816,433.877014251095
2012,426.8371179722,423.055790381981,431.523437979727
2013,436.070680713455,432.271571018373,440.023444990803
2014,425.057778124271,420.551069696159,429.219241457519
2015,437.996682640366,433.848286461916,442.543465665719
2016,432.814653364248,428.980423890592,436.929370016582
2017,428.49628480966,424.560492025149,432.880495325383
2018,430.488111473147,425.988783558932,434.778233487465
2019,423.474887784031,419.040011935817,427.467693566574
2021,435.977214273294,431.463194530019,440.596572333417
2022,427.016951863899,423.274817146441,431.17384749779
2023,434.399018556687,430.461664941102,439.356547328655
2024,423.586586356593,418.497643245619,428.794112170467
