"year","mean_depth","ci_lower","ci_upper"
2003,569.217694115001,564.793587955895,574.763397343943
2004,555.579406175712,548.260228253029,562.757297446797
2005,680.696217803647,676.123324722598,684.252396761511
2006,664.078255823287,656.121107112198,671.181712633627
2007,739.446295522533,735.933775637528,742.948341599672
2008,728.903599983892,724.65037373181,733.040373978635
2009,723.697367285281,719.70258374189,727.457198894402
2010,688.127311534838,683.17112228727,692.868964732377
2011,720.099675759836,715.694040070462,724.371448206383
2012,712.616243832378,708.648388320118,716.044420462884
2013,747.348452147808,743.417687879831,750.830312170999
2014,623.126550397039,618.411484187264,627.7435141236
2015,707.630511836111,702.335694601064,712.188194760307
2016,637.712571036223,632.797108800578,642.777020664337
2017,253.076963888722,248.289788357744,257.970432754843
2018,423.072395074278,415.870309634581,429.955805459183
2019,674.794109239652,670.713640306791,678.094218851302
2021,508.69428501051,503.657349203706,513.00988329377
2022,531.804656812411,526.671905794895,537.785714838201
2023,495.618203946795,487.908643574781,502.75846722819
2024,402.416420369185,396.592269467206,407.917722759677
