"year","mean_depth","ci_lower","ci_upper"
2003,257.897945508893,256.092902087496,259.623770770715
2004,257.916653878111,256.293642217591,259.590642255763
2005,257.762987610733,256.106212789993,259.404663458213
2006,257.877633022101,256.223216650467,259.87400693588
2007,257.60143181776,255.821566418801,259.782527271085
2008,257.430427668925,255.847564015883,259.416482092553
2009,257.786441871346,255.729167432898,259.26419109826
2010,257.783098870965,256.169082933036,259.807424627787
2011,257.840828608587,255.78342710022,259.578041765587
2012,257.768696320867,255.864294782313,259.498939437487
2013,257.870211925593,255.896715747989,259.570472765055
2014,257.902340583603,256.154367584025,259.906361775176
2015,257.927152945395,256.234852406868,259.626514800699
2016,257.882807455715,256.181343204727,259.738479535168
2017,257.866013019954,255.966743592714,259.842424567384
2018,257.905123848469,256.043175435672,259.739784905112
2019,257.800282967228,255.925842318764,259.854109174091
2021,257.925587118079,255.98774855984,260.183778482007
2022,257.900316801633,256.118212695261,259.735281304587
2023,257.696397534578,255.816645543414,259.559624019044
2024,257.875853575201,256.030262232927,259.902466262311
