"year","mean_depth","ci_lower","ci_upper"
2003,350.854546880496,347.910180286753,353.945745199259
2004,351.27535670291,348.47578572623,353.760984292177
2005,351.125801074414,347.654128347558,354.687272010172
2006,350.980956417579,348.404031190211,353.978801989225
2007,351.177232079072,347.959041382915,354.213545896576
2008,351.036339456026,347.674909106802,354.263460578249
2009,351.371378027486,348.461951246158,353.760708975213
2010,351.597958250283,347.944981148924,354.29641595212
2011,351.432152294711,348.826949063582,354.361435505165
2012,351.703583663093,348.567025108425,353.959395170142
2013,350.941955200936,348.125090331157,353.870637083096
2014,351.500655144439,348.895908234329,354.371082354731
2015,351.586112157096,348.330584879863,354.576284841377
2016,351.764318853246,348.725993590419,354.755528684686
2017,352.059028457797,349.211518029864,355.016616665633
2018,352.159692777233,349.05790674543,354.956119513609
2019,351.281461210961,348.197815418055,354.50075362414
2021,351.657734622167,348.586348902138,354.541292798806
2022,351.34774281905,348.635200838811,354.387225902675
2023,351.918377534307,348.978308146454,354.566947429262
2024,351.629435025863,348.846462468567,354.538784747425
